user,rating,date,review
Pascal GILBERT,"2,0",14 août 2018,"14/02/2019 Révision du commentaire 2.
Alors, où en somme-nous 6 mois après ?
Pas beaucoup plus loin, néanmoins il y a eu quelques progrès de fait. Elle entend un peu mieux. Les ordres sont exécutés avec un peu plus de précision, un peu plus souvent. Mais cela ne suffit pas encore. La compréhension a encore pas mal de progrès à faire. Certaines subtilités grammaticales ou syntaxiques lui passent encore au-dessus des transistors. Les saute d'humeur sont en baisse également mais il y a encore souvent, le samedi en particulier, des refus d'exécution pénibles, cercle rouge en exergue et message habituel sur son indisponibilité (comprendre plantage ou serveur injoignable) qui vous oblige à retirer le câble pour provoquer un reset qui règle toujours le problème. Pour le reste, RAS, la qualité sonore reste plutôt bonne. Donc messieurs les ingé d'Amazon, au boulot, vous êtes loin du chômage technique.
Bilan : une étoile de plus parce que ça bouge, mais pas assez vite.
01/10/2018 Révision du commentaire.
Je suis obligé de réviser mon commentaire de manière drastique, non pas que l'appareil en soi soit devenu mauvais ou en panne, mais parce que le service qui s'y ratache est devenu INSUPPORTABLE, tout simplement.
Depuis quelques semaines, peut-être depuis une mise à jour (?), Alexa écoute quand elle veut, répond quand elle en a envie et exécute selon son bon vouloir. Ou devrais-je plutôt dire selon la disponibilité des serveurs d'Amazon car après moults essais de mon réseau, de mon WiFi et de tout ce qui tourne autour, je peux affirmer que le problème ne vient en aucun cas de mon installation mais bien de la liaison entre mes Alexas et leurs tuteurs big brothers : les serveurs d'Amazon.
En exemple, elle est capable de streamer une radio sans broncher et dès qu'on lui demande autre chose, de répondre cercle rouge en exergue qu'elle n'est pas disponible et qu'on veuille bien réssayer plus tard. Ensuite, comme par enchantement, elle se remet à faire ce qu'on lui demande après avoir été débranchée et rebranchée, après un reset quoi. Cela est inadmissible et particuliérement frustrant quand on lui demande par exemple de démarrer une minuterie pour des pâtes ou de servir d'interphone.
Donc, cher Amazon, si tu comptes me vendre encore plus de tes nouveaux petits jouets, comme Echo 2 Plus Echo Sub en triphonie, je te conseille vivement et fermement de faire quelque chose pour que ça aille mieux niveau communication car là, sans déconner, tu peux te brosser pour que je te donne ne serait-ce qu'un cent de plus pour du matériel certes génial quand il fonctionne, mais sans aucun intérêt en l'état.
Voilà, comme dirait l'autre, à bon entendeur...
Que dire de plus que ce qui a été dit. Un bon produit, presque au point en ce qui concerne la reconnaissance vocale qui est étonnamment juste et versatile.
Je viens de lui demander d'épeler ÉTONNAMMENT et c'est un sans faute (heureusement). Il y a encore quelques incompréhemsions, mais elles sont rares et touchent essentiellement des sujets et des questions un peu plus complexes.
En ce qui concerne le son, c'est plutôt surprenant ce qu'ils ont réussi à faire sortir de ce petit machin. Il y a même un grave propre et lisible, ce qui est déjà presque un exploit. Après ce n'est pas une chaine hifi à 2 000 boules non plus hein. Et je ne parle pas des fonctions domotiques que je n'ai pour l'instant qu'éfleurées à travers 2 interrupteurs connectés TP Link qui fonctionnenet du tonnerre.
Peut-être un modèle musicalement un peu plus élaboré dans le futur M. Amazon ?
En attendant, keep it going !"
Rosie,"5,0",21 juillet 2018,"J'ai ce produit depuis sa sortie. Au début j'étais sceptique et je me demandais si les 90€ étaient justifiés.
Aujourd'hui j'ai pris l'habitude de m'en servir et je m'en sers tous les jours. Je lui demande de : mettre un minuteur, lancer une playlist, faire une liste de courses, de me dire comment on écrit tel ou tel mot, me donner la météo, l heure a tel pays, le flash quotidien etc...
j'ai même mis en place 1 alarme a 21h tous les soirs, comme ça quand ça sonne les enfants savent que c'est l'heure d'aller au lit et il n'y a plus de négociations car c'est Alexa qui gère. ET ÇA MAAAAAARCHE !!!
Mon fils se 3 ans et demie sait aussi lui demander tel ou tel chanson et malgré son français a moitié tordu elle comprend tout.
Top. Plus elle se développe plus elle devient indispensable."
Frédéric B.,"5,0",5 juillet 2018,"Je ne voyais pas l'interêt d'un assistant vocal (google ou amazon) pour demander la météo du jour ou bien le programme télé....
Le prix de lancement m'a interpellé et j'ai creusé un peu....
Solution ultime pour domotiser à la voix les lumières, prises et volets roulants (prévoir l'achat d'accessoires supplémentaires) (Bien plus en avance que OK GOOGLE).
L'installation est rapide et intuitive (pour les personnes qui n'ont pas peur de l'informatique).
Le son ( pour la musique) n'a rien à envier aux petites boses!!
Etant abonné Prime, j'ai même l'accès à de la musique choisie !!
Mon seul regret : N'avoir pas anticiper l'achat de satellite avec le prix d'appel (echo dot) afin d'intervenir avec Alexa partout dans ma maison à étage.
J'attends de voir si une promo pourrait arriver ces prochains jours .... (Ou bien qu'Amazon me contacte pour me faire une offre ;-).
Edit du 15/11/2018 :
Je suis toujours ravi de l'appareil. J'ai pu acheté 2+1 echo dot lors de différentes promos.
Pouvoir parler de n'importe où, pour activer n'importe quoi (prises, lumières, volets), ce n'est que du bonheur. Créer des routines pour automatiser certaines tâches, écouter de la musique en mode multi-pièces, je crois que c'est clair : j'aurai du mal à revenir en arrière.
Le seul bémol : Le fire stick TV n'est pas compatible en France, mais quand le sera-t-il???"
BON THIERRY,"1,0",30 juillet 2018,"extrêmement déçus, Alexa me sert uniquement pour allumer et éteindre mes lumières, la plus part du temps elle ne connaît pas ce qu’on lui demande. j’espere qu’il y aura des mises à jour et que ça évoluera avec plus d’info et surtout un accès à internent serais top.
Heureusement je l’ai eu à moitié prix lors de sa précommande !!!"
Cynthia M.,"5,0",27 juillet 2018,"J'avoue, pas encore habituée.
C'est gadget, pour le moment à mes yeux.
Cela amuse mes petites filles, qui réclame ""Pirouettes, Cacahouètes""ou petit papa noël !
J'ai toujours évité les jouets bruyants, comme les tambours, etc., là je suis servie !
D'accord, quand je balaye le séjour, je lui demande les infos ou la météo, comme quoi on s'habitue.
Mon compagnon a décidé d'adapter l'éclairage du salon, avec les ampoules adaptées.
Il est vrai, légèrement ""masochisme"", qu'il aime bien donner des ordres, là, il va être entendu, sauf............................. pour ses bières, Alexa ne peut rien faire pour lui,  il a encore besoin de moi ! MDR
cordialement.
Cynthia"
Inde,"2,0",29 septembre 2018,"Devoir appeler cette machine Alexa, Echo ou Amazon pour être obéi est déjà un vrai problème pour un dispositif à ce prix.  Elle comprend mal et surtout pas les mots étrangers prononcés à la française ou dans la langue d'origine. Essayer d'obtenir une chanson de Lata Mageshkar ou un morceau de John McLaughlin relève de l'exploit ! Par contre Johnny Hallyday elle le trouve tout de suite, comme c'est bizarre...  L'absence total de personnalisation rend l'appareil extrêmement problématique. Il répond de la même façon à n'importe qui et ne sait faire aucune différence entre les propriétaires et les visiteurs occasionnels ce qui est, pour un dispositif réputé intelligent, très très bête. L'interaction avec des objets connectés est aussi très problématique. Au lieu d'interagir via Wifi et ne dépendre de personne le système table sur des connexion inter serveur ce qui vous rend dépendant de serveurs en Chine ou ailleurs pour allumer la lumière ou déclencher l'alarme ce qui, là aussi, est très très très problématique pour de nombreuses raisons comme : respect vie privé, confidentialité, latence importante, fiabilité et, sur le long terme, compromet durablement votre installation si l'un des serveurs de la chaîne vient à disparaître. Bref tout sens l'opportunisme marketing dans ce produit et surtout pas l'intérêt du client final."
Le Punk,"5,0",19 juillet 2018,"J'ai hésité un long moment à le prendre mais grâce au prime day et a ce prix intéressant je me suis lancé. Enceinte au look très sympas, avec pas mal de choix pour la mettre a son goût, légère et passe partout. Le son n'est pas exceptionnel mais il reste propre et est largement suffisant pour écouter de la musique. (A moins que vous voulez créer une rave ou une boite^^) Très réactive au niveau de notre détection et pour ce qu'elle sait faire, il y a encore beaucoup de chose à lui apprendre mais elle est déjà très fonctionnelle. Dommage que la prise qui m'a été vendu avec ne soit pas de la même marque, du coup ils faut téléchargé plusieurs application et si vous faites comme moi a acheté une ampoule ou autre d'encore une autre marque et ainsi de suite vous allez vite vous retrouvez avec une panoplie d'application..
Satisfait de cet achat, je recommande ce produit."
Client d'Amazon,"1,0",8 août 2018,"Avantages:
- musique: pour les artistes et les chansons connus juste parfait
- pour les informations quotidiennes
Inconvénients:
- musique: pour les artistes et chansons: ne comprend rien
- peu d'application utiles (ne fonctionne pas avec les nas par exemple)
- Alexa: fonctionne au mieux dans 50% des cas quand elle comprend
- la fonction achat ne fonctionne pas du tout.
- le son n'est pas bon.
La seule raison qu'il ne soit pas au placard est la fonction meteo / info pratique le matin avant de partir au travail."
R M 7,"5,0",26 juin 2018,"Que ce soit pour de la musique, des infos.
Ou quelques informations que ce soit
Alexa à quasiment réponse à tout du moment que la question est bien formulé. Utilisateur d'une radio internet auparavant je dois dire que je ne l'utilise plus. Alexa la remplace
avantageusement. Au quotidien les questions que vous pouvez vous poser Alexa saura y répondre.
Une playlist d'un artiste bien spécifique idem.
Bien évidemment c'est un besoin que l'on s'est créé. Mais qui devient vite aussi incontournable que le téléphone portable."
François,"1,0",28 septembre 2018,"C’est tout simplement inadmissible, de l arnaque pure et simple .
J’achète ce produit , tellement heureux de le recevoir que je me presse de l’installer.
Et là erreur mots de passe, alors que tout a été fait correctement .
J’appelle le sav, qui me balade d’un service à un autre .
Oui on vous passe le service amazon écho...
Jusqu’à cette heure , j’attends le service .
Maintenant je me retrouve avec un appareil avec une incapacité a se connecter sur internet !!!
Grosse déception , de l appareil, du sav et d’amazon, moi qui suit un client régulier 😡😡😡😡😡, une étoile c’est même trop"
