user,rating,date,review
Leclercq,"1,0",21 août 2018,"Prix imbattable, iPhone 100% neuf (vérifié sur kelpom.fr qui donne également la date de fabrication) ATTENTION VOIR PLUS BAS
iPhone acheté sur Amazon en août et fabriqué en mai de la même année donc très satisfait !
Garantie Apple d’1 an standard
Vous pouvez foncer !
Édit du 04/09 :
mon iPhone est un reconditionné APPLE (numéro de série commençant par C7) : j’ai eu la puce à l’oreille en voyant les 2 vis un peu usée par le tournevis. Le numéro de série me l’a confirmé sur le site chipmunk.nl que je n’avais pas trouvé’ tout de suite."
Alexis Gs,"1,0",24 novembre 2018,"Bonjour je suis sidéré d’avoir avoir un iPhone 8 Plus 256g et d’avoir reçu un iPhone 8.
Le titre de l’annonce amazone est parfaitement claire. Même le retour du produit est sous le libellé « iPhone 8plus 256g »
Comment est ce possible ? Et juste un retour pour une erreur pareille... je suis atterré
J’ai mis une étoile par obligation"
Gianni Contestabile,"5,0",29 avril 2018,"Iphone 8 neuf. Fonctionne parfaitement. Rien à dire. Bien moins cher car venant des pays de l'est. Sim FR, Belge et Italienne fonctionnant parfaitement (J'ai les trois)."
Client d'Amazon,"5,0",1 avril 2018,"J’avais un peu peur sur ce soit une arnaque mais je suis très contente de mon achat. Téléphone débloqué, totalement conforme à mes attentes. Ça fait plus d’un mois que je l’ai, il fonctionne parfaitement!"
⭐Stardust06⭐,"5,0",13 septembre 2018,"Passant d'un Iphone SE... La taille est vraiment très agréable, j'avais peur que se soit trop gros, mais finalement j'adore!
Pour le reste je vois pas trop les différences avec le SE, hormis la taille du téléphone et peut être la qualité des photos.
Encore une fois Amazon nous offre une super opportunité avec un super prix!
Update:
Ce téléphone ne chauffe pas du tout !!! Et la batterie dure 2x plus longtemps que mon SE ."
guey remi,"5,0",9 mai 2018,article reçu en 1 jour fidèle à nos attentes
Mathilde D.,"5,0",28 juillet 2018,"J'ai commandé l'iphone neuf en ayant peur qu'il soit reconditionné à cause de son prix (150€ de moins que chez Apple).  Je l'ai reçu en 1 jour ouvré neuf sous blister, il est super ! Je suis très contente!! Vous pouvez le commander en fermant les yeux !!"
leveque,"5,0",18 mai 2018,"J’étais inquiet de commander un produit d’une telle valeur, mai j’étais rassuré de savoir que c’était Amazon qui me l’expédier . Je ne regrette pas du tout mon achat . Le téléphone est arrivé avec 24 heures d'avance et livrer en main propre. L’iPhone 8 , neuf est livré avec tours ses équipements, il fonctionne parfaitement , Pour le prix cela reste une très bonne affaire ,Surtout pour ceux qui veulent s’équiper d’un nouvel iPhone . Juste un petit bémol pas très grave, la couleur du téléphone est plutôt rose doré que or, mais avec une coque cela ne se voit plus. Je conseille vivement ce vendeur."
agitatadadueventi,"1,0",25 novembre 2018,"C'est n'importe quoi, il m'a été livré un iphone 8 et non un 8 plus, l'écran est minuscule et non pas un écran de 5,5 pouces"
Amal,"5,0",16 juillet 2018,"Quelques semaines déjà que j’ai reçu et testé le téléphone et tout va bien. Colis bien emballé et protégé avec blister, arrivé a la date indiqué. Concernant le téléphone d’après ce que j’ai vu il est destiné au marché de l’EST mais ça n’infecte en rien le paramètrage ou quoi que ce soit. Carte SIM ok ! Réseau ok ! Pour une économie de 160€ ca vaut le coup sachant que le téléphone est totalement neuf"
GENS,"5,0",28 août 2018,"J'avais des craintes avant de l'acheter, mais je confirme le serieux de la boutique. Iphone tout neuf, dans sa boite originale, verifié chez Apple. Marche parfaitement, il est bien sur tout neuf.
Je recommande vivement"
Oli B.,"5,0",15 juin 2018,"Produit au top, prix au top et rapidité d’envoi au top 👌"
