user,rating,date,review
Marc,"1,0",21 décembre 2018,"L'ordinateur est très bien, mais je suis très mécontent d'Amazon !!
J'ai pris la peine, avant de commander, d'appeler le service client, afin de confirmer si la version 14 pouces 8go de RAM était bien tactile.
Après vérification, la dame au téléphone m'a certifié que c'était le cas. Je lui ai dit que ce n'était pas précisé sur la fiche produit, et qu'elle devait être sûre d'elle... Elle m'a certifié que c'était une erreur qui serait corrigée sous peu dans la fiche, mais que l'ordi était bien tactile.
J'ai donc commandé.
Une fois l'appareil reçu, très déçu, pas de TACTILE !!!!
Après réflexion, j'ai décidé de conserver le produit car c'est le seul en 8go RAM. Mais c'est honteux de la part d'Amazon d'induire en erreur ses clients !"
LUMINIS SVCS,"4,0",20 décembre 2018,"Ce n'est pas le premier Chromebook que j'achète ... Celui-ci a l'écran plus grand que les ASUS précédents  mais il n'est bien lisible que sur un certain angle de vue (écran mat). Pour ceux qui utilisait sur le Chromebook la prise HDMI, celui-ci n'en n'a plus ... par contre il est alimenté par une prise USB type ""C"" (légèrement arrondie) donc pour afficher l'écran sur un moniteur ou TV avec HDMI il faut acheter en plus un hub USB-C type ""NOVOO 6 in 1 Hub"" (une vingtaine euros en  plus). Le système supporte Google Play MAIS toutes les applications ne sont pas compatibles et ... j'ai l'impression qu'il ne sait pas comment se situer entre tablette ou téléphone ... Donc certains applications se téléchargent comme téléphone ce qui ne me va pas. Le pack Microsoft fonctionne bien (même OFFICE 365)
Il est assez léger mais l'écran n'est pas bien équilibré par rapport à la base, donc il est impossible d'ouvrir le Chromebook avec une seule main: il faut tenir la base sinon elle vient avec l'écran.
Son démarrage est rapide et avec une bonne autonomie.
Chromebook, ""what else"" ! :)"
jalE.,"5,0",29 novembre 2018,"Je ne connaissait pas Chromebook, et suite à différents conseil de la part de mes proches, j'ai passé le pas, et je me suis orientée vers le produit ASUS, et j'en suis ravie, aucun regret!
Le produit est tout à fait adapté à mon utilisaton. Surf, mail, visionage de mes vidéos!!
La mémoire en 8GB et le processeur offre une utilisation très fluide!
je vous le conseil vivement!!!"
lourme,"5,0",14 décembre 2018,"cette Asus est classe,dans cette couleur argent aluminium,les touches sont très agréables sous les doigts,le pavé tactile est très réactif,une fois assimilé les différentes fonctions avec les doigts,l'utilisation d'une souris est inutile,chrome OS est un peux déroutant aux début,mais après quelque jours d'utilisation,vous ne voudrez plus entendre parlez de Windows  😁,les 8 go de RAM facilite le multitâches,et permet même un peux de montages vidéo,les 64 GB de stockage sont largement suffisant,car vous passez par chrome,pour les réseaux sociaux,les plateforme de vidéo(Netflix,PrimeVideo....,avec un chromecast que du bonheur😃)L’écran de 14 pouces et agréable pour les taches classiques,pour les vidéos aucun soucis sur les scènes de jours,plus discutable sur les scènes de nuits,pour finir je suis tombé amoureux de mon chromebook,je l’emmène partout avec moi,il se glisse facilement dans un sac en plus😉."
Sébastien G.,"5,0",10 avril 2019,"Franchement je suis stupéfait!  Je voulais remplacer mon mac car Apple néglige de plus en plus sont os il me fallait un pc rapide fiable et sécurisé. 64go de stockage j'étais un peux septique .. Mais tout passe par le Cloud automatiquement et on peux synchroniser ses dossiers important en hors connexion. De plus Microsoft Office du play store fonctionne parfaitement bien sûr le chromebook. 8go de ram sais parfait 4go je pense que sais un peux juste pour du multitache.
On peut remplacer facilement un pc avec. Pour ceux qui on besoin de temps a autre d'un pc puissant pour des logiciels il y a le Cloud computing je vous laisse découvrir shadow sans faire de pub mais au moin quand j'ai besoin de indesign ou d'un logiciel qui a besoin de puissance hop direction sur le shadow avec le chromebook  !
La batterie tiens les 10h voire 12h en mode hors ligne de temps a autre.
La recharge est super rapide ! J'ai jamais été aussi satisfait d'un pc a ce prix là comme quoi plus besoins de dépenser une fortune dans un ordinateur pour être tranquille et avoir une machine réactif et multitache.
La prise en main se fait très rapidement. Avec le play store, la possibilité d'installer des soft de linux le Cloud computing et le Google drive on a un pc super puissant avec une excellente autonomie pour une boucher de pain.
Deux défaut voir même trois !
Pas de sortie vidéo mais il y a le chromecast ou je vais voir pour acheter un hub hdmi via le port usb c si cela fonctionne espérons le il n'y a pas de raison.
La dalle mate ... Diminue grandement l'angle de vision sais dommage. De plus la résolution de l'écran et pas top ( pour ce prix on vas pas chipoter l'ancienne génération de macbook air avait la même...  Pour un prix x5)
Et le plus gros défauts pas de clavier rétro éclairé et ça sais dommage car juste ce petit détails aurait tout changer. Le trackpad et cependant très agréable.
Pour des étudiants ou des personne qui font des tâches classique sur leur pc comme écouter de la musique regarder Netflix ou youtube surfer sur 15 page Web en même temps faire du traitement de texte ou du tableur regarder des mail réseau sociaux tchater et jouer a certain jeux du play store ( les jeux de android)
Cette machine et faite pour vous et vous ne serez pas déçu attention les logiciel windows et Mac ne fonctionne pas dessus sais logique on est sur un chromeOS (un linux modifier façon google). Moi cette contrainte me dérange pas car j'ai la solution pour mes besoins pro située plus haut dans mon commentaire.
Donc je récapitule :
J'aime :
Son prix
Son poid
Sa rapidité et le multitache
Les enceinte correct pour une machine de ce gabarit
Le principe de chrome os
J'aime pas
Pas de sortie hdmi ou mini display
Pas de rétro eclairage
La dalle mat
Voilà"
zaza,"3,0",12 janvier 2019,"J'ai acheté ce produit car je pensais avoir un bon rapport qualité prix.
Il est très léger, très fluide, mais étant photographe amateur, je n'ai pas réussi à envoyer mes photos via mon téléphone. En fait il n'existe pas d'espace de stockage. Personnellement, il ne me convient pas pour l'utilisation que je dois en avoir. Autant rester sur un Windows, c'est sans risque.
Donc je renvois..."
ghassan,"3,0",24 décembre 2018,"Gobalement note moyenne pour ce produit . J'ai été mieux servi par les anciens produits ASUS et j'ai l'impression que la mondialisation à laquelle on participe tous moi compris, nous mène à avoir des produits de moins bonne qualité :
Avantages : rapide, léger, fait ce qu'on lui demande, ne rame jamais même après ouverture d'une vintaine de tabs chrome
très bonne qualité sonore
Inconvénients : écran pas très confortable pour les yeux, finitions plastique avec impression d'avoir un jouet entre les mains, touchpad et clavier clairement de moins bonne qualité que les anciens chromebooks chez asus (ma compagne a un ancien ASUS chromebook je crois que c'est le C200)
c'est pour cela je met 3/5"
david gaillard,"4,0",13 janvier 2019,"Produit conforme
Très léger et très design
Facile de rapide d’utilisation
Batterie longue durée (étant étudiant c’est parfait)
Clavier assez silencieux
Bluetooth ...
Inconvénient à noté : très difficile d’imprimer directement un document avec l’ordinateur, nécessitée de passer par des applications ou d’envoyer par mail à tout autres appareils permettant une impression rapide et efficace du document
TRÈS BON RAPPORT QUALITÉ PRIX !"
Samuel,"1,0",30 décembre 2018,"L'ordinateur n'a jamais pu fonctionner après plusieurs tentatives de recharge. Ecran noir qui ne permettait pas son usage. retour et remboursement. Plusieurs Acer à la maison, jamais eu de soucis. Asus est il encore à la hauteur ?"
Théo,"4,0",10 mars 2019,"Déjà deux jours avec mon Asus Chromebook et je tape mon commentaire sur son clavier. Pour le moment je suis ravi. Les débuts étaient un peu compliqués puisque je passais d'un 17,3"" à un 14"" mais au final sa taille est parfaite que se soit pour travailler sur le canapé ou assise à une table. Il est vraiment très leger et j'adore ses finitions plutôt agréable visuellement et même au toucher. Je suis passé d'une interface Window à Chrome et pour tous vous dire les premières minutes sont destabilisantes mais au final c'est sympa et super pratique quand on est adepte de l'univers Google. Pour ce qui est de la durée de vie de la batterie je ne peux pas encore juger cela ne fait que trop peu de temps que travail avec. Et pour la capacité de stockage je trouve que les 64 Go sont pluôt correct mais je prevois quand même d'ajouter une carte micro SD pour etendre les capacités.
Pour finir, je n'ai pas eu de problème avec la livraison amazon, un jour ouvré, et c'est toujours un plaisir de commander sur ce site."
