user,rating,date,review
e,"1,0",30 juillet 2018,"Ce produit a un rapport prix/caractéristiques très intéressant. Par exemple :
- la RAM extensible jusqu'à 20Go (8Go soudés + un logement acceptant 16Go),
- le SSD de 256 au format M2 + un logement 2,5"" pour y ajouter un disque HDD ou SDD supplémentaire.
Le PC est évolutif mais le problème vient plus de sa construction.
Le touchpad est une catastrophe, à l'usage, une surcharge se crée sur le touchpad (suite à une mauvaise isolation du pad) générant ainsi des actions non souhaitées (type double clic, défilement, saut du curseur de plusieurs pixels). Extrêmement désagréable et irritant.
La carte bluetooth n'est pas fiable et a tendance à rompre la connexion avec un appareil appairé sans raison et de manière aléatoire.
Ces défauts ne sont pas d'ordre logiciel mais bien matériel (même problème sur Windows 10 et Debian, avant et après mise à jour du Bios).
J'ai dans un premier temps bénéficié d'un remplacement et ai eu le même défaut sur le suivant. J'ai donc renvoyé le dernier pour remboursement.
Dommage, la qualité n'est absolument pas la même que la série zenbook de 2015."
🔼 Spiderman 🔼,"5,0",16 novembre 2018,"Après quelques mois d'utilisation voici mon retour plus que positif sur cet ultrabook.
Mon utilisation est assez classique. Bureautique, multimédia ( photos / vidéos ), internet bien sûr et lectures de film. Pas de jeux ou rien de significatif.
* Visuel *
Extrêmement classe, bien qu'un peu salissant. Il est très bien fini et vraiment classe. L'aluminium est de bonne qualité. Le clavier rétro éclairé un plaisir à utiliser.
* Performances *
Difficile de le mettre en difficulté, tout du moins avec mon utilisation. Il est très rapide... Voir la vidéo concernant son démarrage. L'autonomie est plutôt bonne. De quoi regarder au moins 2 films par exemple sans le brancher.
L'écran est magnifique, détaillé avec des couleurs éclatantes. Top pour les vidéos et les photos.
Le clavier, un peu souple, me convient très bien.
Il chauffe très peu et il n'est pas rare qu'il reste complètement froid ou presque. Du coup il est vraiment silencieux, je ne l'entend pas.
Le son est correct mais manque de puissance. Logique vu la finesse du châssis... Il est toutefois bien équilibré mais je préfère utiliser une enceinte Bluetooth  ou de bons écouteurs.
* Bilan  *
A mon sens c'est un excellent rapport qualité prix. Il est léger, performant et silencieux.  Venant auparavant d'un 17 pouces la taille de l'écran ne m'a pas gèné tant il est beau.
Que je soit en train d'écrire plusieurs heures avec ou juste pour regarder un film il me convient parfaitement.
Les différentes entrées / sorties sont suffisantes. Il est vraiment complet et se transporte sans contraintes. Je regrette l'absence de housse livrée avec mais bon cela reste un détail... La sur couche Asus n'est pas très dérangeante, on peut aisément faire le tri et enlever ce qui peut être inutile.
J'ai cherché longtemps, comparé beaucoup. Au final je ne suis pas déçu !
Bizarrement je n'ai pas eu de soucis avec le touchpad comme certains et j'écris ce commentaire après environ 4 mois d'utilisation.
A recommander sans problème..."
un étudiant,"4,0",5 septembre 2018,"Pc: Asus Zenbook UX410UA-GV410T
Durée d'utilisation : 1 mois
Prix lors de l'achat : 764,10 €
Très bon pc pour ce prix. C'est un bon investissement si vous ne voulez pas dépenser plus de 1000 € pour avoir le top du top. Beaucoup chipotent sur des détails, mais à mon sens, à ce prix, il fait très bien l'affaire. C'est un pc léger, très silencieux, avec un écran très convenable et une bonne puissance et autonomie.
Le seul vrai bémol est son trackpad qui laisse à désirer, c'est vrai. Mais c'est une petite concession à faire pour avoir un ordinateur puissant avec une belle finition à ce prix. De plus, le chargeur est très léger et facile à transporter.
En conclusion, si vous cherchez l'ultrabook parfait, passez votre chemin car vous trouverez toujours quelque chose à redire (notamment sur le trackpad). Si vous cherchez un pc vraiment sympa sans être super pointilleux, alors je pense que celui-ci dispose d'un très bon rapport qualité / prix."
HAKIM,"4,0",25 août 2018,"Très bon produit, léger, rapide, ne chauffe pas. i7 + SSD 256Go + dalle mate, à ce prix c'est imbattable.
Néanmoins je l'ai rendu car je n'aime pas les claviers ASUS, c'est le seul hic, châssis qui s'enfonce légérement quand on touche les touches.
Remboursement très rapide (déposé en bureau de poste vendredi, argent dans mon compte le jeudi) par AMAZON, rien à payer, frais de retour à la charge d'AMAZON."
Emmanuel,"1,0",3 mars 2019,"J'ai commandé cet ordinateur début janvier suite à une baisse de prix assez importante (930e au lieu de 1099).
Les +:
-L'écran est magnifique. Les bords sont fins, le contraste est très bon, la luminosité maximale est peut être un peu faible, mais si vous n'utilisez pas le pc en extérieur vous n'aurez aucun problème.
-Le format réduit, grâce à l'écran à bords fin qui permet de renter un écran de 14 pouces dans un châssis de 13 pouces.
-Les performances sont très bonnes grâce au Core I7. Pas de lags ou de ralentissements.
-Le son, étonnement clair et puissant pour un ultraportable.
-Le silence. En mode autonomie de la batterie, il ne se déclenche pour ainsi dire jamais, et quand il le fait ce n'est que pour quelques secondes.
-Le système de reconnaissance faciale hyper rapide qui permet de se connecter à Windows en un instant.
-La qualité de construction plus que correcte.
-Le clavier très confortable, bien mieux qu'un mac par exemple.
-3 niveaux de rétro-éclairage pour les touches.
Les + ou -
-La batterie, dans la moyenne.
Les -
Le COIL WHINE, qui est un grésillement provoqué par des micro vibrations des bobines qui servent à réguler le courant au sein des composants. Allez voir sur internet pour vous rendre compte de la nature du bruit, c'est un problème très répandu, à des degrés divers, sur les laptops actuels. Dans tous les cas, ce bruit est très présent sur cet ordinateur, surtout dans les modes de performances plus élevés, et encore plus lorsqu'il est branché sur secteur. Si vous êtes dans une pièce silencieuse pour travailler ou simplement surfer sur internet, c'est bien simple, vous n'entendrez que ça, à moins d'être sur le mode ""autonomie optimale"".
J'ai renvoyé le premier exemplaire reçu, mais le deuxième souffrait de manière du même problème. Je connais des personnes qui ont acheté leur Zenbook à d'autres marchands et le problème était toujours là.
-Le trackpad, qui a tendance à faire n'importe quoi toutes les 10 à 15 minutes (freezes, clics intempestifs), probablement à cause d'un problème d’électricité statique. Quand ça se produit, il faut enlever son doigt du trackpad et le reposer. Assez énervant.
-Le son qui se coupe de manière intempestive dans Windows, surtout après un retour de mise en veille. J'ai essayé de mettre à jour le driver, mais cela n'a pas résolu le problème.
-La charnière de l'écran très ""molle"". Le pc est équilibré pour qu'ils puisse s'ouvrir à une seule main, sans devoir tenir le châssis. Du coup, la résistance de la charnière est très faible. Si vous le tenez sur vos genoux et que vous bougez un peu trop, l'écran bougera aussi.
Au final, deux exemplaires avec à chaque fois les même défauts que j'ai renvoyés.
C'est vraiment dommage, parce que c'est un ordinateur avec énormément de qualités, mais que j'ai du renvoyer à deux reprises à cause de défauts qui selon moi étaient insupportables."
Cédric Schneider,"5,0",9 janvier 2019,"Un musthave pour les personnes souhaitant un ultrabook, c'est une grosse alternative pour ceux qui ne veulent pas d'Apple.
Le ssd de 256go fait le travail demandé, il réagit très vite !
On sent également les 8go de RAM couplées à un processeur i7 8e génération.
La carte vidéo Nvidia de 2go est un plus non négligeable.
Pour l'anecdote : j'ai tenté d'installer World of Warcraft dessus histoire d'avoir une occupation lors de mes déplacements et il tourne comme une horloge à 4/10 en réglages graphiques pour 60+ fps en constant.
La qualité d'affichage est surprenante, elle met bien en avant les couleurs et le son est plutôt impressionnant (il me semble être de meilleure qualité que mon enceinte JBL Go 2 si ça parle à certains).
Aucun soucis avec le TouchPad pour l'instant.
Bref : des finitions au rendez-vous ! N'hésitez plus si vous souhaitez vous trouver un bon pc portable pour de la bureautique, du travail sur images/vidéos (même si l'écran ne fait que 13,3 pouces) voire quelques jeux pas trop gourmands histoire de meubler le temps."
Elias,"4,0",7 janvier 2019,"Sachez  tout d'abord que j'ai acheté ce pc il y a 3 semaines pour utiliser des logiciels type Photoshop, premiere pro, after effects. J'aime aussi jouer de temps en temps.
Les moins du service Amazon : Amazon n'a pas réussi à faire le prélèvement alors qu'ils auraient dû y arriver, ce qui m'a contraint à faire le paiement en 4 fois pour 30€ de plus... Mon compte était bloqué parce qu'ils n'ont pas réussi à faire ce prélèvement, j'ai contacté à 2 reprises le service Amazon. La première fois on m'a dit d'attendre de recevoir un appel du service technique, la deuxième fois on m'a conseillé de repasser la commande sur un autre compte.
Au final j'ai payé plus pour être livré plus tard en passant par ces appels, tout ça parce qu'amazon a des problèmes de prélèvement avec les grands tarifs.
Les moins du pc:
- c'est dommage d'avoir un micro sd au lieu d'un SD classique, la carte mémoire des appareils photos sont souvent des cartes SD
- les ports USB sont un peu serrés, et ne se branchent pas jusqu'au bout, mais sans soucis majeur
- ça fait beaucoup de bruit quand on joue (F1 2018 graphismes medium/high) ou quand on fait un rendu de vidéo. Pendant le jeux la température du cpu reste bien dans les petits 80deg - grands 70deg, donc au moins la ventilation est efficace. Pour le rendu vidéo ça ne suffit pas et on a du thermal throttling quand le cpu atteint 95deg à 3.85 GHz grand max (sinon c'est plutôt dans les 3.5 - 3.6). Dommage pour un boost censé monter à 4.1 GHz. Rappelez vous qu'il vaut mieux un nombre élevé de coeurs que des fréquences élevées de cpu (à fréquence * nbre de cœurs égal)
- le screenpad en mode second écran fait désagréablement clignoter la barre des tâches si celle-ci a l'option ""masquer"" activée. Penser à désactiver cette option (clic droit sur la barre des tâches puis paramètres) avant d'allumer le screenpad.
- Screenpad peu utile pour des tâches basiques, si on n'est pas ""créateur de contenu"". Même pour la bureautique je ne suis pas convaincu. Il y a encore très peu d'application. J'ai essayé Spotify mais ça ne marche pas toujours... (j'obtiens le message ""essayer de lancer Spotify depuis l'écran principal"")... de toute façon ça m'intéresse pas
- c'est un peu la foire aux traces de doigts, sur le pad et le châssis. Mais honnêtement on s'en fiche...
- Dommage qu'il manque le numpad. On a tout de même les touches page up/down et d'autres touches caractéristiques.
- Les 16 Go de RAM ne sont pas extensibles
- L'écran tactile ne me sert à rien
Les plus du pc :
- Le screenpad fonctionne bien et est très utile pour le montage vidéo, je l'utilise comme 2e écran pour mettre ma timeline dans les logiciels de montage (ou le panneau ""effet"", etc... on peut aussi mettre le média à importer ou d'autres trucs... ça dépend de vos besoins et votre imagination!) , ça permet d'économiser de la place. En plus d'être un écran, le touchpad fonctionne très bien en mode classique.
- un super son! merci d'avoir pensé aux basses Asus! manque peut-être un peu de puissance (et encore pour des utilisations classiques du son ça suffit largement)
- Design absolument magnifique
- Qualité d'écran très bon (contraste et couleurs)
- Très bon rapport performance/prix (je l'ai eu à 1500 au lieu de 1700), à titre de comparaison, le dell XPS 15 , pour le même prix, n'a que 8 de RAM (certes extensible...), un moins bon cpu et moins de mémoire (256 contre 512Go de SSD)
- Le SSD boot l'ordi (en quelques secondes) et lance les applications très rapidement (After effects se lance (je me trouve dans le menu) en 10-15 sec )
- Autonomie pas énorme mais suffisante pour moi, il y a de quoi de regarder un bon gros film ça laisse 15%.
- La gtx 1050 fait bien son boulot et permet de jouer à des jeux en qualité correcte malgré le bruit. Au moins les températures restent correctes, vous n'avez qu'à jouer avec un casque.
Pour résumer:
Très bon pc pour la retouche de média, le screenpad est très utile pour cette tâche. Dommage que les 4.1 GHz en turbo boost ne soient pas atteints pour les rendus (peut être qu'en changeant le thermal paste ça peut s'améliorer, et en achetant des ventilateurs externes... à voir). A titre d'exemple, j'exporte sur After effects une vidéo de 44 sec, assez complexe avec de l'animation 3D et plein d'images clés et compositions imbriquées, en 2 minutes 30 environ.
Le screenpad, à mes yeux, ne sert qu'aux créacteurs de contenu vu qu'il y a très peu d'applications dessus, et que ça ne marche pas toujours très bien, du moins pour spotify.
Il faut penser à partitionner la mémoire parce que ce n'est pas fait (tant mieux comme ça on choisit la taille des partitions). Pareil pour les mises à jours, celles ci n'étaient pas toutes faites (un peu pénible).
On pourrait penser que le screenpad et l'écran tactile augmentent le prix, mais 1500€ pour ces performances, on trouve difficilement mieux. Les gaming laptops peuvent avoir des caractéristiques similaires pour moins cher, mais dans ce cas ils sacrifient en général la qualité de l'écran, le châssis, ou bien la présence d'un SSD."
icibas,"5,0",30 août 2018,"Rapide, silencieux, bel écran suffisamment lumineux, dispose de nombreux ports ce qui évite d’avoir à trimballer des adaptateurs (ports : USB HDMI et SD CARD, il ne manque qu’un port RJ45 mais le wifi est très performant). Il y a également un emplacement vide pour ajouter un disque dur supplémentaire et de la mémoire (nécessite de démonter le portable). Sans doute LE meilleur rapport qualité prix du moment !"
Quentin ,"5,0",1 février 2019,"Une semaine d'utilisation et j'en suis plutot content. Le clavier et pad sont agréable a l'usage.
S'allume en 20-30 secondes et est pret a l'utilisation.
Une autonomie de 8-9h je dirais, et charge en environ 1h30+.
Les couleurs de l'écran ont une saturation un peu bizarre, mais le contraste et netteté sont bons! Les enceintes procure un son de bonne qualité.
Les  reflets de l'écran sont un peu dérangeants si vous travaillez dans une zone très lumineuse. J'opterais pour l'écran mat.
Satisfait en général!"
papaloup,"5,0",3 décembre 2018,"Bel écran ,léger et silencieux , aucun problème avec le pad (voir certains commentaires),éclairage du clavier réglable,pas d'entrée d'air sous le pc (parfait pour usage au lit !),payé 699€ pendant le black friday j'en suis très satisfait , il ne me reste qu'à ajouter un 2eme SSD sur le port sata pour y copier ttes mes données multimédia."
