user,rating,date,review
lesfaftom,"5,0",4 mars 2018,"Silencieux (tout est passif et le disque dur est à puces), rapide, fluide, très autonome. Que du bon. Mobile aussi grâce au format. Le seul bémol: windows 10 S qui trie les appli compatibles."
Firepunkcat,"1,0",29 septembre 2018,"Ok, je me lance. Je charge la tablette 8h comme indiqué et je tente de démarrer. Déjà, le bouton réagit bizarrement, obliger d'appuyer avec 2 doigts dessus pour espérer voir le voyant s'allumer... La tablette refuse de démarrer, jusqu' a ce que je débranche le clavier et la remet sur le secteur... Windows 10: pourquoi après tout j'en suis content sur mon pc... mais sur cette tablette??? c'est lent, y'a plein d'icône inutiles, la tablette reboote sans raison, les maj prennent un temps fou... bref, je ne vais pas plus loin... je renvoi et je demande le remboursement. Dommage, le système de connexion clavier / tablette était bien foutu... La finition de l'ensemble élégant... mais si c'est pour ce faire ch... je repart chez Android direct."
Joshua MARTINEZ CORRAL,"4,0",9 juin 2018,"J'avais un peu peur avec les 2go de RAM et Windows 10S mais après un passage gratuit sur windows 10 Pro dans le Microsoft store, c'est parfait, streaming, traitement de texte YouTube tout fonctionne rapidement, s'allume en 6 seconde donc rapide, acheter en reconditionné a 190€ en état neuf je suis pas déçu"
Emmanuel Troiani,"1,0",24 juillet 2018,"Ordinateur inutilisable depuis son achat, malgré un échange puis un envoi en réparation du second ordinateur le problème n'est pas solutionné, mises à jour qui ne finissent pas et freeze de l'écran. C'est mon 4e Asus, c'est la première fois que je suis déçu par la marque !"
Client d'Amazon,"5,0",5 juillet 2018,Très pratique pour les cours. Léger et la batterie dure longtemps
Tanaka,"4,0",3 janvier 2018,Très bonne tablette asus rapide de belle photo très fine très bon son. de couleur grise possibilité de mettre une carte micro SD
Arnauld,"5,0",3 juin 2017,"Cet ordinateur est un tes bon achat, pratique, beau, léger, il tient bien la charge et fonctionne parfaitement. Un bon ptoduit"
Aurore Martin,"5,0",10 août 2017,"Petit, léger, idéal pour le transport. Très réactif: ça me change l'avis de pouvoir ouvrir plus de deux onglets à la fois! Excellent rapport qualité/prix"
FOULIGNY Mary-Nelly,"2,0",26 décembre 2017,Le stylet est manquant. On voit nettement l'emplacement du stylet dans l'emballage malheureusement non présent. De plus la notice est soit inexistante soit oubliée à l'instar du stylet. Cela nuit au design séduisant de cette tablette-PC.
Client Kindle,"4,0",8 novembre 2018,"Je voulais un appareil performant et peu encombrant, pour mes déplacements tant professionnels que personnels
Je le raccorde chez moi à un écran de 22 "", et un clavier externe
La connectique est minimaliste : 1 USB 3, 1 port mini hdmi et une prise jack
Avec le wifi et le Bluetooth j'ai pu raccorder sans problèmes mon imprimante-scanner Canon MG 6150, une souris et un clavier (le clavier détachable est très agréable et on peut faire apparaître un clavier en mode tablette détachée)
Mon principal souci a été la logique étonnante en restant poli de windows 10
Excellent rapport qualité/prix"
Devillers Jean-François,"1,0",16 septembre 2018,"Après plusieurs essais, j'ai réussi à allumer l'appareil.
J'ai installé Windows et le WIFI.
Et puis je l'ai éteint.
Ensuite, impossible d le rallumer.
J'en suis la. Merci pour la réparation"
casimir,"4,0",9 août 2018,"J'utilise depuis peu cet hybride que je trouve pratique, très polyvalent entre la bureautique et les petits jeux qu'on peut mettre dessus c'est vraiment un bon compromis.  Seul petit bémol, le choix des jeux sur le store (gratuits pour ma part) reste restreint."
ALCOR,"1,0",8 décembre 2018,"Plantages en cours de travail systématique depuis mises à jour Windows
Les drivers sont obsolètes aussi à cause de Windows et de ses mises à jour répétées qu'on ne peut arrêter.
Résultat, le matériel sous Windows ne durent pas plus de deux ans."
Beaussart Eléa,"5,0",25 septembre 2018,"Acheter pour mes cours à la fac et il est parfait, léger , petit. Sa double fonction ordinateur et tablette est vraiment géniale pour travailler , lire des PDF ect... Il possède une bonne mémoire, je recommande à 100%"
Client d'Amazon,"1,0",22 août 2018,"Produit défectueux.
Après 2 heures de marche, l'ordinateur ne redemarre plus. Et malgré ses 4go de RAM l'ordi est très lent. A éviter à tout prix."
Jeyakumar Anuja,"4,0",11 mai 2018,"Attention, vendu avec la version entreprise de Windows donc faut remettre à niveau Version pro sinon vous êtes limite au application de base + Windows store"
