user,rating,date,review
M. Salgado,"4,0",6 août 2018,"Produit très sympa, discret et facile à utiliser.
L'installation du stick est très simple il suffit de le bracher sur une entrée hdmi et sur le chargeur secteur ou alors si votre tv est dotée d'une entrée USB qui délivre assez de courant il vous suffit juste de de l'y brancher pour le faire fonctionner sans le chargeur.
Après avoir fait la configuration, on trouve une interface bien faite et intuitive.
La télécommande est épurée se qui rend son utilisation facile.
Je l'utilise principalement pour regarder des films ou séries avec PRIME VIDEO d'Amazon, des vidéos sur YouTube et pour écouter de la musique avec SPOTIFY ou AMAZON MUSIC.
Le plus c'est la connection Bluetooth qui me permet d'y connecter un casque.
Je mets que 4 étoiles car on ne peut pas l'utiliser avec ALEXA et qu'il manque beaucoup d'applications dans le store."
☑️Thibault Lhermerout☑️,"5,0",12 novembre 2018,"Mon Avis:
✅INSTALLATION:
L’installation du stick est très simple : il suffit de le brancher sur une entrée HDMI et sur le chargeur secteur. Par ailleurs, si votre TV est dotée d'une entrée USB qui délivre assez de courant, il vous suffit juste de l'y brancher pour le faire fonctionner sans le chargeur.
✅DESIGN:
Le Fire TV a un design très épuré et est accompagné d’une télécommande plutôt solide avec bonne prise en main !
✅UTILISATION:
J’utilise ma Fire TV avec un vidéo-projecteur afin de regarder des films et des séries sur Netflix ou visionner des vidéos sur Youtube. Parfois, je joue à des jeux. Contrairement à un ordinateur, il est possible d’arriver beaucoup plus vite à notre objectif.
✅ INTERFACE:
L’interface de la Fire TV est vraiment sublime. On en comprend directement le fonctionnement. Le store d’applications est très fourni. La Fire TV est vraiment rapide comparée au Chromecast de chez google qui, pour sa part, est assez lent dans l’interface. J’utilise un casque bluetooth, ce qui me permet un confort à 100 % sans aucune latence.
✅QUALITE/ PRIX:
Le rapport qualité / prix est assez choquant : nous avons un produit de haute qualité à un prix tout petit comparé au concurrent ! De plus, la Fire TV est fournie avec tous les accessoires utiles pour son bon fonctionnement. C’est d’ailleurs la première fois que je vois un produit avec autant d’accessoires. Je suis ravi et je vous la recommande !"
Bob,"4,0",4 octobre 2018,"le stick est comme un mini PC qu'on peut brancher sur une télé HD classique qu'il soit smart ou non, connecté ou non. Pourquoi mini PC ? car on peut installer plein d'applications, et même le fameux KODI, même si votre télé n'est pas connecté, ce stick permet d'avoir aisément Youtube, Netflix, Firebox, et pleins d'autres applis. Une très belle invention
malheureusement, et c'est la seule chose que je lui reproche, c'est de ne pas avoir de bouton veille sur la télécommande et qu'il faille aller dans les menus, monter, monter, monter, aller tout à droite, descendre, aller 5 fois à droite, puis redescendre 4 fois pour avoir accès à l'option veille... c'est chiant, tout simplement, tout ça pour éteindre, alors qu'un simple bouton direct sur la télécommande aurait été le bienvenu !"
PickUp,"5,0",10 juin 2018,"Je cherchais un petit ""truc"" à rajouter à ma télé pour la rendre encore plus conviviale (TV LED, Freebox) et je suis tombé sur le Fire TV en version stick. Etant premium amazon, je me suis laissé tenter par son prix attractif et ses possibilités.
J'en suis très satisfait. Je peux regarder enfin les vidéos du service Prime Vidéo sur la télé sans suppléments de câble ou d'équipement (sauf le Fire TV bien sûr) en 1080p. On peut aussi installer VLC pour lire les vidéos qui sont sur un serveur UPNP (comme la Freebox).
La télécommande est aussi petite mais très pratique (transmission radio).
Ce qui est dommage, il en faut, c'est la gestion de l'alimentation qui se fait par un chargeur USB avec un long cable électrique. J'ai testé le branchement sur une prise USB (500 mA) de la télé qui n'a pas marché mais sur la deuxième prise USB (en 1 A). Plus de câble qui pendouillent de la télé (HTDMI, USB) car tout est connecté directement à la télé (le Fire Stick sur une prise HDMI et un petit cable sur USB de la télé à 1A).
En conclusion, très bon achat, je le recommande."
Virginie,"1,0",23 novembre 2018,"Bonjour
Depuis une mise à jour qui s'est effectuée le 1er novembre, je rencontre un problème sur Prime Video. L'image se bloque continuellement alors que le son continue normalement.
Je précise que ce problème concerne uniquement Prime Vidéo, car pour les autres applications, tout est ok.
J'ai consulté l'aide en ligne et apparemment je ne suis pas le seul le problème est bien connu par les techniciens d'Amazon mais à ce jour  aucune solution n'est apporté  et je reste avec un appareil qui ne fonctionne pas correctement . Si aucune solution rapide n'est apporté, je demande le remboursement de mon produit .
J'ai donc effectué toutes les manipulations recommandées (débranchement, recherche de mise à jour...) rien n'y fait.
J'ai fini par ré-initialisé le Fire Tv stick. Pas de résultat !"
swazen,"4,0",24 juillet 2018,"Pour avoir utiliser differentes box chinoises avec une rom Android TV, je peux vous dire que le stick d'amazon fait le job...
Les plus: drm L1 pour l'ensemble de l'offre VOD HD du marché (netflix HD, molotov en 1080p avec l'option à 4 euros), wifi AC performant, télécommande bluetooth, Kodi 17.6 plus rapide que sur ma beelink en S905X, ergonomie du launcher fire TV.
Les moins: pas de réglage de volume depuis la télécommande, pas de compatibilité DTS (DD+ max).
Franchement, à 30 euros (offre prime days)  c'est une bonne affaire mais pas excellente vu la fire TV stick (non basic) vendu au même prix avec Alexa sur télécommande (US, UK) non dispo en France..."
romain,"5,0",1 janvier 2018,"acheté en prime à 29 euros, je suis très satisfait de mon achat, installation plus que rapide, bonne réactivité, télécommande minimaliste mais qui rempli très bien son rôle. Si je devais avoir un regret c'est celui de ne pas avoir un mini clavier pour faciliter les recherches. Pour regarder netflix ou autre, c'est simple et pour le prix c'est très bien ( en prime à 29€ c'est meilleur marché qu'une box tv android )."
Tandhruil,"3,0",12 novembre 2018,"Globalement je suis plutôt déçu de ce produit amazon, je m'attendais à beaucoup mieux.
Pour l'alimentation électrique, le Fire Stick nécessite une alimentation sur le secteur, c'est vraiment dommage quand la plupart des téléviseurs récents disposent d'une prise USB. Sans l'alimentation, le Stick reboot régulièrement. Le cordon d'alimentation est court et lorsque la TV est fixée au mur avec une goulotte pour les câbles c'est assez compliqué à mettre en oeuvre.
Il n'y a pas de bouton marche arrêt ou de mise en veille depuis la télécommande, si vous souhaitez arrêter l'amazon Stick, il faut le débrancher.
Pour utiliser l'application myCanal, faute d'un accord entre amazon et canalplus, il faut faire des manipulations qui ne sont pas triviales. Passer le Fire Stick en mode développeur, récupérer un fichier d'installation (APK) depuis des sites non officiels, le transférer sur le Fire Stick en USB et l'installer avec ES File Explorer... Bref au bout du compte ce sont les clients qui galèrent.
Ce qui est fou, c'est qu'une fois tout ça réalisé, myCanal fonctionne bien, voir mieux que amazon Prime Vidéo.
Et c'est là le point négatif le plus regrettable. Utilisant le Fire TV Stick en zone rurale avec un faible débit internet  alors que myCanal adapte la qualité d'image au débit disponible, amazon Prime Video ne propose pas de gérer la qualité d'image. Du coup, impossible de regarder une film ou une série sans que l'image ne se fige toutes les 5 mn. C'est d'autant plus rageant que sur mobile (apple ou android) cette option est disponible et qu'en qualité ""bonne"" l'image est très satisfaisant.
J'en viens à me demander si je n'aurais pas du acheter une box TV android..."
florian55,"5,0",6 août 2018,"je conseille vraiment cet article il est de très bonne qualité , de plus simple d'utilisation avec sa télécommande et sont manuel. aucun chrome cast ne lui arrive a la cheville. en gros ce produit et vraiment magique on peut tour faire ( jouer au jeux ,youtube, netflix, prime vidéo, Firefox, musique, info, tv , portable..et j'en passe )  outil indispensable et idéal strictement rien a dire a part merci Amazon pour un produit ci parfait.
bon aller en cherchant vraiment et en chipotant le clavier n'est pas azerty mais par ordre alphabétique rien de gênant.
je reste à la disposition de toute personne souhaitant des renseignement"
Axelle,"5,0",11 juin 2018,"Je l'ai acheté pour une télé n'ayant pas de prise Antenne a proximité. Elle me permet d'accéder aux chaîne TV via Molotov, à Netflix mais aussi à Prime Video via mon abonnement Prime.
Rien à dire aujourd'hui, cela fonctionne parfaitement. J'utilise que quelques applications mais c'est exactement l'usage que je voulais en faire. De plus super pratique, je peux controler la fire stick avec la télécommande de la télé !
Du coup, j'en ai acheté une deuxième pour ma mère pour la fête des mères et elle en est ravie également !"
