user,rating,date,review
Peter,"5,0",13 mars 2018,"Pour remplacer une télé LED HD Samsung endommagée, il s'agissait du premier prix Amazon,
aucune déception, fait le taf, bon son et belle image,
télécommande un peu cheap ""plastique"" légère, mais fonctionne parfaitement,
les connectiques : 3 HDMI, USB et autres me permettent de brancher box, périphériques et chromecast sans soucis."
LeControleur,"4,0",13 septembre 2017,"Une bonne télé qui fait bien l'affaire. Fonctionne correctement et est très réactive ( pas de temps de latence lors de l'allumage ou changement de chaines, extérieu..)
La qualité d'image est standard : Full HD, ce qui convient pour tout type de programme/ jeux vidéo.
Pas de problème pour brancher les consoles et une antenne TNT.
Je pense que le rapport qualité prix de cette télé est réellement intérréssant.
Les  + : Ergonomie
prix
bonne qualité d'image
Son très correct ( même pour la musique on retrouve des basses percutantes )
Design
Prise HDMI et USB
Les - : Les pieds de la télé semblent fragilee
Pas d'OS intelligent intégré ( mais normal pour le prix )
Mon avis vous a aidé ?
Prenez une demi-seconde pour mettre un ""OUI"" , cela valorisera le temps pris pour rédiger ce commentaire et m'encouragera à en écrire à nouveau.Merci à vous :)"
DUMONT,"4,0",13 février 2018,"Après un retard de livraison de 2 jours, le produit est bien arrivé
Il est tout a fait à la hauteur pour un prix très raisonnable
Seul bémol...la notice n'est pas en français donc il faut faire les réglages à l'intuitif
L'image est de qualité. Un bon achat"
AJM,"5,0",14 juillet 2018,"HKC-24C2NB-60-50cm-1920x1080 -- B075NB4J31
J'ai commandé ce téléviseur en tant que deuxième moniteur pour mon PC (en utilisant le bureau étendu de Windows 7).
Le prix était moins cher qu'un moniteur et pourtant le téléviseur comprend également un décodeur satellite numérique et un décodeur numérique terrestre.
La résolution de l'écran TV est bonne (Full HD) bien que, bien sûr, très légèrement inférieure à l'écran du moniteur (qui a une résolution plus élevée).
Windows a reconnu le modèle du téléviseur, mais la taille de l'écran envoyé par le PC à la télévision était légèrement surdimensionnée (de moins de 5 mm en haut et en bas et à gauche et à droite). Lorsque j'ai essayé de redimensionner l'image sur le téléviseur (ou peut-être sur le PC?), la qualité de l'image était moins qu'acceptable. Je n'ai pas essayé de trouver une meilleure solution à ce problème car, en ajustant la taille de la fenêtre du programme informatique sur le téléviseur, je pouvais accepter le léger surdimensionnement de l'image. Cela n'affecte pas le produit lorsqu'il est utilisé comme téléviseur.
Lors de la recherche de chaînes par satellite, il peut être nécessaire d'effectuer une recherche de réseau plutôt qu'une recherche par satellite ou par transpondeur car les réglages du transpondeur déjà programmés dans le décodeur de télévision peuvent être périmés. Ce n'est absolument pas un problème tant que vous en êtes conscient (cela risque d'être un problème avec tout nouveau décodeur car cette information peut être périmée). Beaucoup de conseils à ce sujet sur Internet.
Toutes les fonctions fonctionnent très bien et je suis ravi du produit. Je peux le recommander comme excellent rapport qualité-prix."
LABONNE Ronel,"1,0",31 août 2018,"Au bout de six mois est apparu ligne noire horizontale sur l'écran et prise casque ne fonctionne pas...suis dégouté!!!
ça fait +d'1 mois que je fais les démarches auprès de HKC, le lien qu'ils envois pour le bon de retour vous fais tourner en bourrique sans possibilité d'imprimer ce fameux bon...V me tourner vers la répression des fraudes...Voila!!!"
Celumil,"4,0",21 juillet 2018,"Sur Amazon Allemagne (au moment où j'écris ce commentaire) ce modèle a 93 avis et une note moyenne de 3.8 sur 5. Une bonne note pour une télé de ce prix là, et c'est ce qui m'a décidé à l'acheter.
Personnellement, j'ai dû augmenter un peu la luminosité et le contraste pour mieux voir les tons noirs correctement. J'ai aussi passé l'interface en anglais pour éviter de voir certains mots français trop longs ne pas s'afficher en entier... mais, à part ce détail, l'interface logicielle est plutôt claire et bien faite. Niveau décodage de la TNT, ça me semble plutôt pas mal (malgré un signal parfois faible chez moi). La connectique de l'appareil est assez riche, et c'est un grand plus. Aucun problème pour lire des vidéos présentes sur un disque dur externe qui traînait chez moi. Attention, le manuel utilisateur fourni est uniquement en anglais et allemand (mais il n'y a rien d'extraordinaire dedans).
Au final, ce n'est pas la télévision parfaite mais le rapport qualité/prix est plutôt bon."
mathon,"5,0",30 octobre 2018,"Produit reçu conforme a la description, belle finition, aucune mauvaise surprise, installation facile et rapide, parfait pour moi."
Portret Hervé,"4,0",23 juin 2018,"Reçu le jour prévu comme souvent avec Amazon, je suis content de mon achat. Facile a raccorder et a mettre en service. Jolies couleurs, bon rapport qualité prix.Il faut voir a l'usage mais dans l'immédiat je recommande ce produit."
erbrmat,"4,0",1 juin 2018,"j'ai  acheté cette TV comme appoint pour la chambre, elle fait très bien son office.
très légère, les images sont nettes et belles, pas de souci, bon rapport qualité / prix, je recommande!"
capitaine40,"3,0",19 septembre 2018,"article très bien propre bien transporté, mais attention pas de tnt intégré , merci."
Lippmann Thomas,"5,0",3 septembre 2018,"Top pour son prix !  Une télé complètement équipée.  Récepteur Sat,  TNT et encore analogique pour les ancien appareils  même une prise peritel est installé.
Le point faible est le menue et l installation.  Confus est compliqué,  on n'a pas de droit d erreur sinon il faut commencer à zéro avec la programmation."
maxime 76,"4,0",7 octobre 2018,"excellent rapport qualité/prix
article livré rapidement
installation très simple pour ceux qui en ont l'habitude
je dois toutefois signaler qu'il est dommage que la notice ne soit pas en Français
je recommande malgré cela ce vendeur et cet article"
Client d'Amazon,"1,0",5 août 2018,Horrible surtout à ne pas acheté il y’a une dégradation sur le contraste de la télé !! A ne surout pas acheté je déconseille fortement ⚠️⚠️⚠️
Benjy3L,"3,0",22 juillet 2018,"Manque quelques ports.
J'ai trouvé dommage qu'il n'y ai pas un listing des programmes. Quand on zappe, le temps de réaction pour afficher le programme actuel est un peu long.
Mais la télé en elle même est de bonne qualité."
Daphuq,"4,0",7 octobre 2018,"Installé en extérieur, elle fait parfaitement son rôle ! :) couplé avec un boitier multimédia, elle tourne H24 sans problème de surchauffe
En revanche, la qualité de la dalle TV n'est pas terrible terrible.
Je recommande pour ceux qui ont un faible budget et qui veulent tout de même s'offrir une TV de qualité moyenne"
