user,rating,date,review
CartoRaptor,"5,0",7 avril 2019,"Excellent téléphone à un prix imbattable.
Tient largement plus d'une journée d'utilisation intensive ( Netflix, YouTube, Spotify, réseaux sociaux,...).
Aucun ralentissement ou bug constaté.
Les features IA font un peu gadget (emoji à reconnaissance facile, réalité augmentée,...), mais, en même temps, il faut bien faire du marketing !
Pour ce qui est de la charge, il passe de 5% à 100% en 1h20 chrono.
Malgré sa grande taille, il tient très bien en main.
Et enfin, c'est un vrai bonheur que regarder des films sur son large écran.
N'hésitez pas à cliquer sur le bouton ""utile"" si ce commentaire vous a paru pertinent !"
Loïc,"5,0",17 novembre 2018,"J'utilise ce smartphone à titre pro et particulier.
J'ai été agréablement surpris par la durée de la batterie. Un vrai plus.
Le téléphone est réactif, c'est appréciable.
Pour le moment, j'ai juste encore un peu de mal avec l'encoche en haut qui limite le nombre de notifications affichées"
Romane Clausse ,"1,0",10 janvier 2019,"Points positifs :
- Bel appareil
- Autonomie
Points négatifs :
- Au bout de 3 jours d'utilisation, je remarque des ralentissements et de nombreuses applications ne répondent pas, je dois forcer la fermeture, parfois redémarrer le téléphone
- Le téléphone indique que la carte SD est endommagée. Mon cas n'est pas isolé (source : https://forum-huawei.com/threads/probleme-micro-sd-toujours-le-message-carte-endommagee.1194/)
Je suis extrêmement déçue et énervée, je vais le renvoyer et vais devoir chercher un nouveau smartphone..."
Jeff. R,"5,0",25 novembre 2018,"Livraison ultra rapide. Normalement prévue 2 semaines après la commande, je l’ai reçue le lendemain. Seul l’emballage laisse à désirer ( un simple carton comme pour un livre, sans aucune protection). Concernant le téléphone, il est parfait. Excellente qualité, beaucoup de possibilités. Les photos et vidéos sont vraiment sympas et la batterie tient bien le coup. A acheter les yeux fermés."
Julien L78955,"5,0",21 février 2019,"Téléphone très sympa par son design, sa finition, sa taille, sa couleur (bleue).
Le système Androïde est fluide et fourni un bon programme.
Après plusieurs mois d’utilisation intense, je suis très content de cet achat! Au passage le rapport qualité prix est top!!
Seul bémol, comme toutes les téléphones de moyenne gamme (sous 500-600 euros), l’appareil n’est pas toujours au top par contre. Il faut suivre un petit cours/titi pour bien utiliser les modules de l’appareil en manuel et faire des photos sympas car en automatique, le téléphone cherche toujours à se régler tout seul (capture,ouverture...) et le flou peut apparaître au mauvais moment.
Côté jeux, les graphismes sont sympas, les couleurs sont agréables.
L’autre point négatif et bien que le téléphone soit beau esthétiquement, il glisse pas mal !!
Privilegiez une housse pour éviter une chute les premiers jours !
La dalle HD est au top pour le prix du matériel.
Je recommande le téléphone sans problème, surtout pour le prix !"
Thierry Chich,"4,0",14 septembre 2018,"Le Huawei mate 20 lite, c’est un joli écran - LCD, mais contrasté quand même. C’est aussi un processeur correct, de la mémoire en quantité suffisante et un look d’iphone X. C’est aussi une épaisseur bien maîtrisée, un design en rondeur très qualitatif. Bref, une apparence vraiment très réussie. Même si, avec une un dos en verre et des objectifs arrières qui dépassent, on l’inserera forcément dans une bonne grosse housse, on est content d’avoir un bel objet.
J’ai découvert avec ce téléphone la surcouche Huawei qui copie IOS et je dois dire que je la trouve très réussie. En supprimant le menu des applications et en le remplaçant par le le bureau, on élimine un niveau de complexité d’Android qui ne me parait pas très utile.
Pour ce qui est des photos, le nombre d’objectifs (deux avants et deux arrieres) ne suffisent pas à se hausser au niveau du haut de gamme. Les photos sont belles tant que la lumière est suffisante. Après, elles perdent rapidement de leur superbe. Quant à la promesse de l’IA, je la trouve inégalement réalisée. Dans certain cas, l’IA se contente de saturer les couleurs (comme on peut le voir sur la photo de gauche). Parfois, elle permet de détecter le type de photo que l’on veut prendre et de proposer des réglages. Pour le selfie par exemple, l’IA vous propose de lisser les défauts du visage: à son maximum, ça vous fait un peu ressembler à une poupée, mais c’est réglable et c’est quand même assez malin.
Une mention à la reconnaissance faciale qui marche pas mal du tout. Le fait d’utiliser un double objectif améliore la sécurité du procédé. Le téléphone ne se déverrouille plus à la présentation d’une simple photo (j'ai essayé). En revanche, il y a des chances qu’elle ne fonctionne plus si vous enlevez vos lunettes. Elle ne fonctionne pas non plus la nuit. Mais comme il est possible de mixer reconnaissance faciale et empreinte digitale, ça reste tout à fait fonctionnel.
J’allais oublier l’autonomie : rien à dire de ce côté. L’angoisse du chargeur n’est plus de mise.
En résumé, c’est un bon téléphone de moyenne gamme, bien fini, joli et performant. A mon sens, il deviendra franchement très attractif quand il sera aux alentours de 300 euros, ce qui ne saurait tarder.
04/2019: aujourd’hui, on le trouve fréquemment autour de 230€. Il tient toujours bien le coup. J’ai trouvé une coque extérieure très satisfaisante, mais j’ai eu moins de succès aves la protection en verre trempée - qui ne s’adapte pas bien. Quoiqu’il en soit, rien à dire de particulier sur le téléphone lui-même."
Lili,"5,0",17 novembre 2018,Agréablement surprise je suis passer de Samsung à  Huawei se resemble beaucoup je trouve
Mich,"5,0",1 décembre 2018,"Mon tel est mon outil de travail. Mon épouse utilise un Huawei depuis 4 ans et moi un Samsung s7 pour lequel j'étais insatisfait. Ce tel est très simple d'utilisation, d'une bonne taille, tactile très agréable et photos extraordinaires. Aucun regret pour l'instant."
Client d'Amazon,"5,0",12 janvier 2019,"Au delà de mes attentes malgré une priwe en main au magasin.
- bonne ergonomie.
- agréablement surpris par l'appareil photo. Déjà pout le grand angle et de nuit (iphone décevant). À titre de comparaison, il est nettement meilleur que le galaxy s7 et que l'iphone 6s plus (que j'ai gardé plus de 3 ans depuis sa sortie) en netteté de jour et surtout nuit.
- rapide
- BATTERIE: 2 jrs en utilisation normal (sans jeux mais avec mail, réseaux sociaux (whatsapp, fb, snap....) navigation gps waze ou maps) incomparable avec un iphone 🤣
- design sympa
Sur la durée, il y a de fortes chances que ça vieillisse plus mal qu'un iphone (casse touche de deverouillage à venir sans doute vu le jeu hasardeux)"
Antoine Rouby,"3,0",7 avril 2019,"Ce smartphone pour son prix est juste excellent si on les compare aux Samsung ou iPhone. Les photos sont belles, la reconnaissance facile et l'empreinte digitale réactifs et l'ecran est lui splendide !
Seul petit bémol... Je ne pense pas qu'il soit d'occasion mais il y avait à son arrivée une micro rayure sur l'écran... L'expéditeur est en Angleterre alors j'ai décidé de le garder mais bon.
N'hésitez pas à définir mon commentaire comme utile, ça me fais plaisir, MERCI !!"
