user,rating,date,review
Nick,"5,0",25 juin 2018,"Ce smartphone est très bien.
Huawei à mis la barre très haut.
Contrairement à d'autres personnes, j'ai bien reçu un téléphone neuf.
Je confirme qu'il est bien dual-sim, on peut insérer deux cartes SIM dans le téléphone et ça fonctionne très bien.
On a pas d'information à ce sujet dans la description Amazon et j'ai du envoyer un message au vendeur pour avoir la réponse, c'est vraiment dommage!!
Un ami a pris ce téléphone chez Orange et il a reçu une version single-sim (il ne prend pas en charge la deuxième carte sim).
Je me suis donc poser des questions mais au final je suis ravi puisque cette version prend bien en charge les deux cartes SIM.
Voici une petite astuce pour savoir au premier coup d'oeil si un téléphone est dual-sim, il suffit de regarder sur la boite ou directement dans les réglages du téléphone (Système / A propos du téléphone), si il dispose de deux numéros IMEI, c'est qu'il est DUAL-SIM.
Pour en revenir au téléphone en lui même son design est vraiment sympa, il fait penser à l'iPhone 10 avec son encoche en haut.
Je recommande sans hésitation."
Sandrine A.,"1,0",14 décembre 2018,"J'ai reçu ce téléphone en cadeau. Je connais bien ce téléphone vu que mon compagnon a le même. Il est très fonctionnel.
Or, quand j'ai reçu le mien, il ne capte pas la 4G. Après plusieurs configurations, il capte la 4G mais n'a pas de réseau (barre) donc encore plus lent que si j'étais en 3G+. On a changé de sim, sur nos deux téléphones  (on est chez le même opérateur), et mon compagnon ne capte pas la 4G sur mon téléphone, alors que sur le sien aucun problème.
A savoir que j'avais la 4G sur mon ancien téléphone (samsung S7)
J'ai demandé le remboursement du téléphone (service client Amazon parfait!).
J'irai acheter le téléphone chez Orange, vu qu'il est au même prix et j'aurais plus de garanties !!"
Mélanie,"5,0",29 juillet 2018,Je n ai pas acheté la version française et pourtant le téléphone par défaut est en français. J avais peur de passer sur Android et maintenant je ne regrette pas du tout. On peut cloner son i Phone du coup c est super simple
Aude,"2,0",19 décembre 2018,"J'ai rencontré le soucis de beaucoup de personnes, mais bon ça je l'ai découvert une fois en utilisation, le 1er jour TOP ! Vraiment contente de mon achat, un super appareil photo, facile d'utilisation... Le soir je l'ai éteint, le lendemain celui-ci me demandait mon code PIN + 1 code de déverrouillage ! j'ai donc essayé le code que j'avais rentré pour le verrouillage écran, ça ne fonctionnait pas ! J'ai donc rechercher comment faire sur internet, le conseil étant de le réinitialiser ! Super après avoir passé une journée à charger toutes mes applications ! Le téléphone re fonctionne après la réinitialisation, je re télécharge mes applications, le soir je ré éteint le téléphone. Et au moment de le rallumer : devinez ..... Code PIN + Code déverrouillage !!!!!!! Du coup renvoi du téléphone ! Remboursement rapide merci Amazon, ça franchement rien à dire ! Mais suis vraiment déçu pour le téléphone qui en lui-même quand il doit fonctionner normalement est top"
Jimmy,"5,0",2 octobre 2018,Pour ma part j'avais un Huawei p8 lite 2017 qui m'a très bien servie mais avec peux de mémoire le p20 lite a 64go et j'ai déjà mis bien plus que ce que j'avais besoin en application plus fluide meilleur qualité d'écrans l'effet sans bordure et excellent la seul chose que je trouve dommage et le fait que sur les 2 appareil photos arrière il y ai un décalage sur le centre optique j'ai dû tomber sur une mauvaise série. chargeur aux normes européennes et langue française au démarrage reste un excellent smartphone tiens bien la batterie en mode eco le son et bon et la qualité photos assez bonne très bon produit dans l'ensemble compenser jeudi reçu lundi
momo,"4,0",3 octobre 2018,Le téléphone est vraiment très maniable je suis passé d'un p-9 Huawei P20 Lite et je le regrette pas la seule chose un petit peu ennuyé sur ce téléphone est le temps de réaction lorsqu'on ouvre une application mais sinon il est très très bien
Denis,"4,0",14 août 2018,"C'est un smartphone d'un excellent rapport qualité/prix
Offert à mon épouse en remplacement de son Iphone 7 plus, elle est ravie.
Plus de Icloud, Itunes et autres joyeusetés propriétaires...
Une bonne autonomie / bel écran fluide / Rapide et 3x moins cher qu'un Iphone
Que demande le peuple"
nicole VINCENT,"4,0",17 août 2018,"Pour: téléphoner en premier (ça marche), l'appareil photo (nickel), le seul inconvénient c'est sur les notifications !! il n'est pas possible de différentier la réception d'un sms ou mail !!
je recommande ce tel."
Basmakh,"3,0",31 octobre 2018,"Téléphone répondant à mes attentes pour le moment SAUF que le chargeur fourni s'est de suite coincé dans ma prise. L'embout ne fonctionne pas et mtn dispose d'une seule dent ! Il a limite émet un sens d'explosion quand je l'ai branché. Très déçue de ce côté.
Les écouteurs ne permettent pas d'entendre clairement la musique. Mauvaise qualité."
Client d'Amazon,"1,0",24 décembre 2018,"J'ai rentré en boutique Huawei une première fois mon GSM P20 lite tous neuf de même pas deux mois pour un problème de rotation automatique d'écran. Ce problème a été résolu en changeant la carte mère. Après la réparation de mon GSM, la rotation automatique refonctionne mais plus les caméras avant et arrière. Je ne l'ai pas constaté lorsque j'ai récupéré mon GSM à la boutique et je n'ai pas eu l'occasion d'y retourner immédiatement. Peu après, pendant la nuit un bruit et un flash lumineux ont retenti du téléphone et l'écran s'est fissuré, sans aucune chute du téléphone. Je suis retourné chez Huawei, ils refusent de croire que l'écran s'est fissuré tout seul et prétendent que mon téléphone est tombé, c'est pour cela que mes caméras ne fonctionnent plus et que l'écran est fissuré. Ils considèrent que dans ces conditions la garantie n'est pas applicable.
EN RESUME J'AI UN TELEPHONE DE MEME PAS TROIS MOIS AVEC DEUX CAMERAS QUI NE FONCTIONNENT PLUS ET UN ECRAN FISSURE.
JE SUIS TRES DECU DE LA MARQUE ET JE N'ACHETERAI PLUS HUAWEI CA C'EST SÛR."
