user,rating,date,review
joce,"4,0",9 septembre 2018,"J'utilisais précédemment deux écrans qHD (2560 x 1440) 27"" (un Eizo et un Dell) pour une utilisation desktop avec mon MacBook Pro 2018, que j'appréciais beaucoup. J'ai commencé par acheter un premier écran LG 27UD88-W pour remplacer le Dell, et ca a été la révélation : le HiDPI (résolution réelle 3840x2160 affichant du 1920x1080) est magnifique et beaucoup plus lisible que le QHD, on ne peut rapidement plus s'en passer. A force le qHD finit par vous sembler beaucoup trop petit, et j'ai fini très rapidement par changer mon écran Eizo restant par un deuxième LG 27UD88-W, et c'est un vrai bonheur.
Seul petit bémol (d'où les 4 étoiles au lieu de 5), la reconnaissance de l'écran en sortie de veille par le Mac est parfois très aléatoire. Ce qui semble fournir le plus de stabilité pour l'instant est le branchement en USB-C sur le Mac du premier écran, et le branchement en Display Port du second écran (dans mon cas branché sur un
Belkin - Station d'accueil Thunderbolt 3 avec cble Thunderbolt 3 Actif de 1m, Débit DE 40 Gbit/s, Puissance de Recharge DE 85 W, Double Affichage 4K/5K, Sortie Audio, Gigabit Ethernet - Aluminium
), en désactivant le Display Port 1.2 (du coup l'image est affichée en 30Hz au lieu de 60Hz, mais je trouve que ce n'est pas gênant pour un usage bureautique). Mettre le dernier Firmware de l'écran est également important (le dernier au moment où j'écris mon commentaire est le 3.21 sorti le 31/07/2018, qui améliore la compatibilité avec les docks).
------
Si mon commentaire vous a été utile, dites-le-moi en votant, ca me permet d'améliorer mes comptes rendus ! :)"
Touchain,"5,0",29 décembre 2017,"Je viens d'installer cet écran et il est magnifique.
Je l'ai acheté pour deux point: Résolution 4K et connexion en USB-C avec mon Macbook Pro 2016.
Cela me permet de n'avoir plus qu'un câble sur mon ordinateur qui gère la recharge, l'affiche et les données.
Je prévois de brancher un disque de stockage au dos de l'écran avec les ports USB 3 disponible.
Attention: La recharge d'un Macbook en USB-C n'est possible que sur les modèles 12 et 13,3"". Les 15"" demandent plus de puissance que ce que peut délivrer l'écran."
Sheldon Cooper,"5,0",9 septembre 2017,"Ayant testé de nombreux ecrans au cours des 5 dernières années, c'est probablement le meilleur ! pourquoi ? déjà la dalle mate est superbe, la résolution extra ce qui permet dans un domaine comme le graphisme de voir la moindre anomalie ! de plus pour la fatigue des yeux cet écran n'agresse pas ! et quand vous êtes 8h par jours devant un écran, cela change la donne !"
takaramono,"4,0",22 novembre 2018,"Surperbe écran. Pour les caractéristiques techniques, il n'est pas nécessaire de faire l'éloge.
Par contre j'adore la télécommande. On n'est plus obligé de chercher à appuyer sur les petits boutons qui sont souvent sous ou derrière écran. Ces boutons sont en général très pénibles à manipuler et je fais souvent des erreurs de manip. Très agaçant! Mais là, changer la source, Activation/désactivation PIP PBP, naviguer dans le menu, régler le volume, la luminosité, etc c'est vraiment simple! C'est dommage que ça n'existe pas pour les écrans d'autres marques! L'essayer c'est l'adopter !
Sinon je suis à 1m-1m20 de l'écran, c'est confortable (pour voir la vidéo, la TV en plein écran il faut bien reculer davantage).
Sur une source, j'ai branché la TV SFR box. Du coup je peux la voir en PIP taille moyenne (ça évite de tourner la tête ver ma télé) et lire, travailler sur les 2/3 en largeur de l'écran. Il y a de la place!
On peux même afficher 4 sources différentes pour les visualiser sur l'écran en 4 parties, équivalent de 21,5"" full HD fois 4 !
Le son est très correct. La voix à la TV est claire. Ce n'est pas un sound system non plus.
Juste un truc, j'aurais aimé pouvoir baisser un peu plus la luminosité
Edit 7/12/18
Tout allait bien jusqu'à ce jour. Je manipulais les sources PIP sur la télécommande. Subitement l'écran s'éteint. J'appuie sur le bouton ON/OFF et sur tous les boutons, mais je n'arrive pas à le rallumer. J'ai débranché le câble alimentation et le rebranché. Là ça marche à nouveau. C'est quoi ce truc ? Je baisse ma notation à 4 étoiles.  A part ça tout va bien pour le moment."
richard fiore,"4,0",9 avril 2018,"Un 4K pour ce prix la je n'ai pas hésité. Zéro pixels morts, 4 écrans HD dans un seul écran les pixels sont très petits, la surface de travail est importante, il faudra pour celles et ceux qui ont la vue basse ajuster la taille des caractères à 150 voire 200%, pour plus de confort. Je ne suis pas un gamer (pas de tests), mais il vous faudra avoir une carte vidéo capable de gérer cet écran. 2 ports HDMI et un Displayport, pas de VGA suffisant pour moi. Mini stick sous l'écran déroute un peu, pour ajuster les paramètres. Pour ce qui est de la longévité du produit il n'a pas encore sa première bougie..."
Mara,"5,0",31 juillet 2018,"Pour vous résumer j'ai commencé par acheter une entrée de gamme Samsung en moniteur 4k 27"" et il s'est avéré être catastrophique. Je l'ai renvoyé illico et j'ai pris mon temps avant d'en reprendre un, j'ai bien cherché et bien analysé. Bingo! tout me convient:
- design belle finition, fin, sans bordure sur les côtés et en haut 5/5
- colorimétrie, l'image est sublime (IPS en même temps), les couleurs ressortent bien et sont respectées d'une manière générale 5/5
- réactivité, très fluide même si 144hz aurait été PARFAIT 4/5
Je le trouve UN POIL cher mais je ne regrette pas cet achat"
Guillaume LEROUX,"3,0",7 juillet 2018,"L'écran est bien mais pour le coup amazon a tout foiré, offre reconditionné « très bon » dans laquelle il manque les vis pour fixer le pied et un superbe trait bleu traverser l’écran de haut en bas. Difficile de ne pas l’avoir. Ce qui me laisse penser que les produits reconditionnés ne sont même pas testés. La semaine dernière j’ai eu aussi un accessoire manquant dans un autre produit reconditionné. Heureusement qu’amazon est très commerçant pour le coup. Ils m’ont offert le produit. Pour cet écran en revanche, c’est retour direct. Dommage car en dehors de cela, il est parfait si vous avez la place et besoin d’une grand surface pour travailler."
ROUHANI,"4,0",5 avril 2018,"Personnellement j'adore, ça fais quelques mois que je l'ai maintenant ( je l'utilise avec mon macbook pro 2017 en USB-C, ma ps4 et un PC windows  par HDMI )  et je peux dire que :
- L'écran arrivé dans les temps
- bonnes couleurs et image très nette
- Bon prix sachant qu'il possède une prise USB-C ( je n'ai pas trouver de meilleur qualité prix)
- une fois les réglages de l'images ajustés c'est du plug and play ( très simple a régler )
- le bouton en dessous de l'écran est simple d'accès et d'utilisation
- bezels très fins
Points Négatifs :
- Pas de son
- Malgré l'USB-C, le prix reste élever
- parfois à du mal à se reconnecter avec mon macbook pro après une mise en veille relativement longue du Mac.
Je met 4 étoiles bien méritées."
Martina,"3,0",19 octobre 2018,"L’écran est vraiment incroyable, très grand, très claire et avec une qualité de couleurs impressionnant. La
télécommande est aussi très outil.
Mais je conseille pas d'acheter reconditionné, le mienne est arrivé sans le vis du pieds et avec l’écran même DÉVISSÉ'!
Et le service client Amazon ne peut pas m'envoyer seulement les vis donc je dois retourner l’écran maintenant et espérer que le stock ne serait pas épuisé quand j'aurais recevoir le remboursement...
Mais bon, l’écran est vraiment impressionnant, je le recommande."
Tony,"5,0",13 février 2019,"Je vous fais part de mon expérience de plusieurs mois à propos de cet écran LG de 43 pouces. Acheté en mai 2018, jusqu'à maintenant, rien à redire. Fonctionne très bien, image magnifique, compatibilité 4k testée avec mon pc et la n'vidia Shield, son excellent, télécommande très pratique. Bref que du bonheur. Et puis j'ai acheté la xbox one x pour profité de la puissance de la console avec la 4k et là, grosse déception, cela ne fonctionne pas. Contact avec le service technique Amazon puis LG puis Microsoft, mais personne n'a la solution. Amazon m'a renvoyé un autre écran pensant que cela pouvait être un défaut de l'écran, mais j'ai le même problème avec le nouveau. Quand je veux activer la résolution 4k,la xbox one x me dit que l'écran n'est pas compatible..... Bref Amazon cherche toujours la solution, mais sachez qu'il existe ce problème si vous voulez acquérir cet écran pour jouer avec la xbox one x en 4k. J'éditerai mon commentaire si Amazon me trouve une solution...un jour...
Edit du 13 mars 2019:
Bonjour, mon problème est enfin résolu. Après avoir essayer plusieurs fois, sur le site de Microsoft la solution est décrite. Dans les paramètres ""Affichage et son"" de la Xbox one X, il faut passer en résolution 1080p puis cocher ""autorisé le 4k"" puis cocher ""autoriser un taux de 50hz"" puis cocher ""autoriser un taux de 24hz"". Bref, très complexe à régler. De plus sur l'écran LG 43UD79 il faut aller dans menu/image/ajuster image et mettre ""Hdmi ultra HD deep color"" sur ""on"". Enfin il faut brancher le câble Hdmi de la Xbox one X sur le port ""HDMI IN 3"" ou ""Hdmi IN 4"" contrairement à ce qui est décrit dans le mode d'emploi PDF de l'écran qui explique que pour avoir la 4K il faut se brancher sur les ports 1 ou 2 ! Bref, merci au service technique qui m'a orienté sur le site de Microsoft sur lequel j'ai pu trouver une partie de la solution !"
