user,rating,date,review
Maéva,"5,0",3 août 2018,"Nous nous sommes lancés en couple dans une perte de poids de 20kg en prévision de notre mariage à l'automne 2019. Nous avons pris 3 goût : chocolat, biscuit et pêche. Chocolat est juste génial, Biscuit est bon mais sans plus seul par contre avec des fruits dedans (framboises) il est juste extra ! Par contre nous n'aimons pas du tout la pêche qui fait très parfum de synthèse et est assez écoeurant ..
Niveau résultat : en une semaine, nous avons tous les deux gagner un cran de ceinture en remplaçant 2 de nos repas par jour."
Delphine ,"5,0",22 mars 2018,"Un seul mot!!!j'adore!j ai enfin trouvé le petit déjeuner quotidien qu' il me faut. Je me régale,je n ai pas faim avant midi,Et je perd du poids😍!!une tuerie!!"
ylec,"5,0",11 juillet 2018,"Bonsoir je recommande ce produit car j'ai perdu 1kg en une semaine. Jai pris : Une fois le matin et autre le soir et un déjeuner sans privation mais sans abusser et en mangeant sain c'est top, Même sans faire d'activité physique. donc si vous faites de sport je pense que vous devrais perdre un peu plus. J'ai acheté à nouveau ... quant le goût à fraise par contre pourraient faire mieux car ça fait un goût trop artificiel. J'espère que le chocolat sera un peu mieux... on verra"
Utilisatrice ,"5,0",19 juillet 2018,"J'ai testé vanille , fraise et banane.  Vanille et banane sont très  bon . J'aime moins fraise . Concernant la perte de poids : je remplaçait mon repas du midi par du lait d'amande et une cuillère de cute nutrition . Le soir je mangeait équilibré sans me priver. Et j'ai perdu en 1 mois et demi 9kg.  C'etait pas forcément facile tous les jours . Mais j'apprécie le résultat."
Sandrine MAURIN ,"5,0",25 avril 2018,Très bon. J'ai perdu 2 kg en 2 semaines sans me priver du tout. Je prends un shaker de cute en remplacement du repas du soir. Perso j'adore le goût vanille que je mélange au lait de soja... Un delice pour un régime.
Marylou,"5,0",15 août 2018,"Septique. .Mais à l arrivé conquise !  Délicieux goût de fraises.
Utiliser un mixeur pour éviter les grumeaux.
Sinon je en recommanderais encore par la suite.😊👍"
Client d'Amazon,"5,0",27 avril 2018,J'ai acheté déjà 2 fois ce produit et également à la fraise et goût biscuit. J'adore les 3! Pas écœurant. J'en prend matin et soir pour remplacer mes repas et je ne m'en suis pas encore lassé. Cela cale vraiment bien et je n'ai pas faim entre les repas. Le midi je mange ce que je veux. En 12 jours j'ai perdu 3kg. Je suis très contente.
Kiki,"5,0",8 juillet 2018,Alors j’ai voulu tenter deja le gout super l’impression de boire un milk-shake a la fraise deuxiement j’ai remplacer mes repas de midi par un shaker et sa ma suffit pas de grignotage dans la journee et pour finir le service de cute juste super qu’il m’envoit des mails pour savoir si le gout me convient me demander si je suis satisfaite j’ai trouver sa top je vous le recommande 100 % et le plus important j’ai perdu du poids assez rapidement sans m’affamer
Milla chichi,"5,0",19 septembre 2018,C'est un délice de le boire midi et soir 😊 très bon goût je vais recommandé sous peu il faut bien ajouter 3 cuillère du doseur et ajouter le lait de votre choix je vais faire une vidéo dessus
Capitani,"4,0",9 juin 2018,"Très contente de mon produit, j'appréhender vue certains commentaires, j'utilise mon milk shake pour le repas du soir ou celui du midi selon mes horraires de boulot, je fais également du sport aucunes sensations de faim après la prise, goût onctueux moi je le mix avec un fruit je le recommande"
sylviane lacquement,"5,0",12 juillet 2018,"petit commentaire pour le Milk - Shake Fraise très bon je le mélange avec du lait d'avoine je l'ai commencer y a trois semaines j'ai perdue une taille
je viens d'en reprendre à la banane , j'en prends deux par jours je suis affinée ravi je vous le recommande fortement !!!"
Client d'Amazon,"5,0",15 novembre 2018,"J'attendais de voir des résultats avant d'écrire un commentaire. J'utilise le produit Cute tous les jours de la semaine sauf un (ce que je vous conseille de faire sinon, lorsque vous arrêterez, vous reprendrez ce que vous aurez perdu). Je ne sais pas si il y a un effet ""brûle graisse"" mais en tous cas éliminer un repas par jour marche... évidemment. Grâce au produit pas de sensation de faim. Je ne vois qu'un minime changement physique depuis que j'ai commencé (1,5 mois) mais la balance indique que j'ai perdu 4 kilos (63 à 59) à voir si ça continue sur le long terme. Je compte poursuivre pendant 5 mois. Je ferai un autre commentaire selon l'évolution. Moi j'aime beaucoup le goût du Vanille et du Cookie. Pour ceux et celles qui veulent utiliser cute, je vous souhaite du courage vis à vis de votre entourage. C'est parfois compliqué de dire qu'on mange pas et qu'on préfère son milkshake."
Lily,"2,0",16 septembre 2018,"J'ai acheté ce produit pour mes petits déj, étant toujours pressée le matin et n'ayant pas forcément la motivation de me préparer quelque chose d'equilibré.
J'ai apprécié l'odeur et la texture du milkshake mais le goût... Je n'ai pu boire que 2 gorgées. Beaucoup beaucoup trop sucré pour ma part... J'ai eu l'impression de boire que du sucre ayant un goût bien chimique.
Bref le produit ne correspond pas du tout à mes attentes, je l'ai bien mauvaise d'avoir mis ce prix là alors que je ne pourrai pas le boire..."
