user,rating,date,review
lw,"4,0",27 février 2019,"Téléphone utilisé pour le travail et en perso. Premier point, la double carte sim, dont la gestion est très bien faite, une couleur (que l'on peut choisir) par carte, association des contacts de façon intuitive et très simple. Et attention avec cette double sim il y a en plus un slot pour la carte SD, donc sim/sim/sd, le top. L'appareil photo est dénigré sur les tests, mais je le trouve réactif et les photos de bonne qualité (je compare au Sony XZ que j'avais avant celui ci). Le téléphone est rapide, réagi bien au tactile, pas de surcouche Motorola seulement les fameux gestes qui peuvent être pratique ou pas, on peut les activer ou désactiver. Pour ceux qui font beaucoup de voitures, la fonction que j'adore est la lecture vocale des SMS et des appels, très pratique pour ne pas quitter la route du regard, le bluetooth fonctionne à merveille également. Le son n'est pas exceptionnel mais pour un milieu de gamme il se défend bien, la prise en main est bonne, et l'écran est lumineux, testé en plein soleil, rien a redire de ce côté là.
Voici donc un téléphone qui remplit très bien ses fonctions, je ne mets pas 4 étoiles, car rien n'est parfait ;)"
Bouvet Philippe,"2,0",25 mars 2019,Neuf ? Pas de film de protection sur la lentille ! ni au dos (mais avec une coque en silicone) scellé déjà ouvert et mal refermé et emballage amazon non fermé.
mistretta patrice,"5,0",30 mars 2019,"Apres un mois dutilisation
Batterie: plus de 48h
Écran: j'avais peur de laisser mon samsung pour son écran.  Et bien le g7 à un écran au top. Aucun regret.
Et pas logiciel polluants obligatoires comme chez mon précédent mobile qui mangaient la moitié de la mémoire.
Reconnaissance empreinte instantanée et bonton bien placé,
Le tout est rapide et fluide
De plus les fonctions par geste qui sont excellentes"
gs,"4,0",6 avril 2019,"j'ai acheté ce smartphone car je n'aime pas ceux qu'il faut charger tout les jours. J'utilisais jusqu'ici un lenovo P2 qui a la même endurance, mais le motorola plus récent est vraiment bien.
Pour moi l'écran est largement suffisant même en plein soleil on y voit bien, il est fluide, agréable tenu en main même avec un poids pareil, et le top c'est sa batterie, qui pour mon usage tient vraiment bien.
Je n'ai pas trouvé la charge rapide efficace, je m'attendais à mieux, j'ai levé une étoile pour ça, sinon franchement c'est mon premier motorola et il n'a rien a envier aux smartphone qui coutent 100 € de plus, maintenant il faut espérer que les mises à jour suivront, car on est sur de l'android presque stock.
Alors pour ceux qui ne veulent pas recharger leur smartphone tout les soirs, je recommande vraiment celui-là, il est presque inépuisable......"
Thomas,"4,0",7 mars 2019,"Livré avec la dernière version d'Android (Pie, 9.0), ce téléphone a un excellent rapport qualité prix.
Pour un smartphone à moins de 300€:
- Belle finition
- Bon appareil photo
- 64 Go de stockage
- Turbo charge (chargé en 1h et tient bien plus d'une journée)
- Ecran 6'2 (presque un peu trop grand pour moi !)"
Client d'Amazon,"4,0",25 mars 2019,"C'est un très bon produit sauf qu'il ne possède pas de bousole, le réveil ou alarme ne fonctionne pas quad le téléphone est éteint, et il ne possède pas NFC"
FRANCIS M.,"4,0",2 avril 2019,"Usage basique : téléphone et sms, vlc pour les videos et gmaps.
Bon rapport qualité/prix, c'est mon avis de non spécialiste lambda.
Lorqu'on le connecte à une prise usb du Pc sous linux (Ubuntu 16.04), les fichiers ne sont pas montés automatiquement.
On peut chercher un moment pour trouver comment faire : il faut y accéder par le Gestionnaire de Fichiers.En finale,
ça marche.
Le tiroir extractible pour la carte sd et les cartes sim semble fragile à l'œil et incite à la manipulation en douceur, et
n'incite pas à extraire/insérer la carte sd fréquemment.
En résumé, après deux semaines d'usage, je suis satisfait de mon achat."
Gasse85,"5,0",31 mars 2019,Facile d'utilisation et rapport qualité prix excellent ce Motorola g7 est très bon voir même meilleur qu'un redmi note 7 que j'ai en ma possession je m'explique niveau photo la qualité du Motorola est là et ultra fluide dans la vie de tout les jours le note 7 ma déçu photo vraiment pas a la hauteur en même temps c'est un 48 mégapixels interpolé en 12 mégapixels capteur Samsung c'est pour ça que le Motorola est meilleur en photo et niveaux autonomie il vous fera la journée sans problème
Kiritoa160803,"4,0",23 février 2019,"Super smartphone.
Ces mots sont les seuls que j'ai trouvé pour le qualifier tellement il m'a emmerveiller et impressioné"
David,"4,0",22 mars 2019,"Venant d'un motorola g3,la différence est énorme au niveau performance,très bel écran,autonomie de la batterie excellente et en plus bénéficie du turbo power pour une charge rapide.
Livré avec une coque transparente.
J'en suis très satisfait à ce jour."
