user,rating,date,review
Max,"5,0",28 juillet 2018,"Après un an d'utilisation quasi quotidienne, je viens écrire ce commentaire pour faire part de ma grande satisfaction quand à cet aspirateur.
✴️✴️Beaucoup de points forts à cet aspirateur ✴️✴️
✔️ Sa puissance : il aspire très fort et bien.
✔️ Sa légèreté : son poids est léger et permet de la transporter facilement.
✔️ Sa maniabilité : il passe presque partout, suit bien le balais quand on le tire et se retourne rarement sur lui même.
✔️ Nettoyage ultra rapide et facile : il suffit d'enlever le compartiment à poussière, de le vider, de le laver à l'eau et c'est reparti.
✔️Rangement pratique : le balais d'aspiration s'emboîte et se fixe à l'aspirateur.
Même si l'aspiration génère un bruit de 79 décibels comme indiqué et qu'il dépasse un peu la moyenne de bruit des aspirateurs (75), je trouve que ça reste correct et acceptable.
Concernant une critique que j'ai pu lire sur la mauvaise qualité de la partie coudée du manche, je n'ai pas identifié de gêne particulière à l'utilisation à ce jour.
Moi qui cherchais un aspirateur qui aspire vraiment, je ne suis pas déçu et je n'hésiterai pas à reprendre le même modèle le jour où celui là lâchera.
☑️ Conclusion ☑️: un rapport qualité prix particulièrement bon pour cet aspirateur puissant et léger à la fois.
En espérant que mon avis vous soit utile
Si besoin, n'hésitez pas 😉"
sabrina,"5,0",11 août 2018,"Facile à ranger. Aspire fort. Lumite trop fort, il faut jouer avec la petite trappe d'aspiration qui se trouve sur la poignée pour pas que l'aspiration décolle le sol. Sauf que j'ai une astuce pour passer l'aspirateur sans être essoufflée après avoir passer la maison avec l'aspirateur..  J'ai mis une photo. Au lieu de jouer avec la trap du manche pour diminuer la puissance daspiration , Coller des petits patin aux extrémités! C'est un soulagement!!! Pour le dos, le bras et nos nerfs!!  Le câble s'énroule seule grasse au bouton poussoir sur l'appareil.bon rapport qualité prix. Voilà!"
gouriou grégory,"1,0",24 août 2018,"Aspirateur très puissant. Bon fonctionnement durant 6 mois, et depuis il n'aspire plus rien. J'ai changé le filtre et nettoyer tous les éléments mais rien n'y fait. De plus aucune garantie n'est proposée...Merci Amazon!!!"
Hell yeah,"3,0",9 septembre 2018,"J'avais lu les commentaires avant de l'acheter en me disant que même si il était mentionné que la puissance d'aspiration était trop forte ce ne serait pas un soucis pour moi et qu'au contraire, ça voulait dire qu'il aspirait bien.
En fait non ... Obligée de l'utiliser avec la trappe d'air du manche ouverte sinon l'utilisation est impossible, l'aspirateur reste collé au sol et il faut forcer comme une brute pour le déplacer, c'est même quasi impossible il ne glisse plus.
Le point positif est la simplicité de nettoyage du bac collecteur."
MrgxSmn,"5,0",23 mai 2018,"Foncez!!!
Je voulais un aspirateur qui aspire vraiment, pas comme ceux qui finissent en décoration dans les placards parce qu’ils n’aspirent pas tout..
Adieu les poils dans le canapé, adieu le pollen, adieu les arraignée
Certe bruyant, mais pour ce prix là je suis ravie!!!!
Il est vraiment top j’adore la petite brosse intégrée pour faire canapé, paillasson, matelas et les affaires des animaux!! Je recommande vivement"
swat06,"4,0",1 juin 2018,"A ce prix là , on a un bon aspirateur , qui aspire bien , avec des accessoires utiles et pratiques , finalement peu bruyant , il manquerait 1m de fil en plus pour mon 84m²  , et pour chercher la petite bête , il est très léger , trop peut être ;-))
je m'en sers tous les jours , il sera vite mis a l'épreuve pour la durée ."
FRnki69,"4,0",12 mai 2017,"compact jolie aspire trés fort sans aucune retombé de poussiere
d'ailleur joué avec l'appel d'aire pour evité de rester collé au sol (-_-)
sinon pour le prix je dirais que c'est trés bien
je recomande cette aspirateur"
noelle rocher,"5,0",8 septembre 2018,"Vraiment très contente ! ! Cette aspirateur est vraiment très peu bruyant la puissance d’aspiration selon le sol peut se régler avec la petite molette sur le manche est vraiment hyper léger ,  le fils est suffisamment long sans avoir besoin de changer de prise toutes les trois minutes  et sans aucune hésitation je vous le recommande vraiment ... a voir dans le temps mais franchement confiante !! Merci"
ouizaza,"1,0",24 octobre 2018,aspirateur qui a tenu a peine 5 mois sa fait 20 jours qu'il est en reparation et que moi j'empreinte celui de la voisine comme une débile
Client d'Amazon,"5,0",9 août 2018,"Vivant dans un 50m2 avec un chien et un accès direct au jardin, toujours pleins de poils et de poussières venant de dehors il me fallait un aspirateur de qualité qui respecte mon budget. Et bien je suis conquise !
Deuxième fois que je commande un produit rowenta et je suis à nouveau satisfaite.
Il a une bonne aspiration, le fil est assez long, il est pratique et les accessoires sont bien utiles.
Ayant eu 2 aspirateurs dans la même gamme de marques différentes, il y a vraiment une différence avec celui ci, enfin un aspirateur qui aspire vraiment.. allez y les yeux fermés !"
José Lecq,"1,0",13 août 2018,"En a peine un an le second et il n’aspire Toujours pas , pas pratique et franchement pas agréable aviser . Je suis déçu !!! Je préfère largement les sacs . Je suis fidèle à Rowenta depuis des années mais cet aspirateur un flop."
kaina El achhab,"1,0",29 juillet 2018,"Au bout d’une semaine d’utilisation, il n’aspire plus trop malgré l’avoir nettoyer et pris le temps de de déboucher chaque endroit."
GAUDEZ,"3,0",28 septembre 2018,"Ça aspire bien et c’est l’essentiel , voir même ca colle un peu trop au carrelage.
Ok pour brosse parquet vrai plus.
Léger mais du coup peu se retourner si à coups
Les reproches : fait un peu cheap, les roues ne tournent pas ..., tuyau flexible un peu court pour moi 1m85.
Premier sans sac ... peut être le dernier je vois pas l’interet de nettoyer l’aspi à chaque passage, ça tombe par terre, les cheveux s’enroulent sur le pré-filtre."
DIY-Arcueil,"4,0",19 mai 2018,"Utilisateur depuis 7 mois, cet aspirateur fait très bien son travail, pas très bruyant, facile à entretenir. Seul un bémol, ses 2 grandes roues se bloquent par le poid de l'aspirateur et l'aspirateur glisse sur la surface de parquet au lieu de rouler. Peut-etre le mien possède un défaut de montage? Si vous avez un astuce pour corriger ce problème, je suis preneur. Sinon je suis satisfait de cet aspirateur."
Cel,"1,0",6 novembre 2018,"Au bout de deux semaines il n’aspire plus rien même pas un cheveux !!!
J’ai tout nettoyé correctement mais rien n’y fait
Je déconseille"
JG,"5,0",7 avril 2017,"Très puissant et compact, il respire la qualité Rowenta, c'est parfait pour mon utilisation je le recommande sans aucune hésitation."
Jean-Marc,"3,0",21 novembre 2018,"Une puissance correct pour sol dur et tapis.
Leger, facile a nettoyeur.
Par contre la brosse parquet n'est pas pratique, elle se plaque au sol.
On regrette la brosse delta des anciens modèles.
Il se retourne aussi facilement lors des déplacements du à sa forme trop ""arrondie""
Actuellement en réparation, le câble ne reste plus bloqué et se rembobine automatiquement…"
Client d'Amazon,"1,0",21 novembre 2018,"Trés déçue par le produit - très léger, mais à tel point qu'o dirait un jouet !
Il est effectivement facile à nettoyer mais le mien n'a plus de puissance, il n'aspire plus rien, après seulement 8 mois.
Matériaux vraiment cheap.
Je ne recommande pas."
Elhem,"4,0",4 octobre 2018,"Il est léger et très puissant.
Je rejoint les autres commentaires concernant le plastique de la Manche et des accessoires: ça paraît de bas de gamme. Pour vider le réservoir il faut enlever une pièce donc toucher la poussière ce qui n'est pas pratique.
Vu la puissance sur les sols durs et les tapis le prix abordable et la légèreté j'ai mis 4 étoiles"
Ludmila,"5,0",30 juillet 2017,"Le produit de très bonne qualité, une très bonne puissance d'aspiration, compact, pas trop brouillant. Je suis très satisfaite de cet achat!"
Lydia,"1,0",11 décembre 2018,Au bout de quelques mois il n'aspire plus.
Historic J,"1,0",7 avril 2019,"L'aspirateur n'aspire plus rien au bout de 6 mois et vous êtes en train de me présenter un devis de 80€ pour les réparations d'un aspirateur que j’ai acheté il y a 6 mois à 90€?
Il n’y a donc aucune garantie ni aucun suivi sur les marchandises que vous vendez?
C’est absolument honteux pour une entreprise comme Rowenta qui se veut être une marque de confiance comme pour vous qui vendez des appareils défectueux. Autant acheter un petit aspirateur d’une petite marque pour 20€, cela fera aussi bien l’affaire."
Vanes,"5,0",31 janvier 2019,"Je viens de commander cet aspirateur sur amazon pour l'offrir à ma mère car je l'ai depuis plus d'un an (acheté en magasin en promo) et j'en suis très satisfaite.
Je l'utilise pratiquement tout les jours car j'ai 2 enfants en bas âge,  il arrive même de le sortir 2 fois par jours,  il aspir vraiment fort il faut regler la puissance avec la trappe sur le manche donc très pratique pas besoin de se baisser comme sur d'autres aspirateur où la puissance se règle avec un bouton sur l'aspirateur même.
Il est facile à vider, à nettoyer il suffit de passer le filtre sous l'eau, personnellement je le fais très rarement juste quand je vois qu'il en a besoin.
Il est livré avec plusieurs brosse,  de quoi nettoyer tapis, endroit étroit ou difficile d'accès.
Léger,  facil à rangeoet assez compact.
Donc voilà après plus d'un an je peux que le recommander surtout niveau qualité prix."
Client d'Amazon,"5,0",8 janvier 2019,"J'en avais marre des sacs à renouveler sur mon aspirateur et j'étais tentée d'en acquérir un sans sac. On me disait que c'était une erreur, qu'ils n'avaient pas une grande contenance et surtout qu'ils étaient bruyants et n'étaient pas puissants en aspiration. Or: la contenance n'a pas vraiment d'importance puisqu'il n'y a pas de sac à changer, juste à vider le réservoir à poussière. J'ai déjà fait le tour de mon logement (90 m2) 3 fois et le bac est loin d'être plein même avec les ""moutons"" sous les lits et mon chien qui perd ses poils. Pour le bruit, il n'est pas silencieux 100 % mais pas plus bruyant que mon ancien aspirateur. Pour la puissance d'aspiration... j'avais souri en lisant les avis mentionnant qu'il aspirait tellement fort qu'il fallait ouvrir la petite trappe de régul.. Hé bien, je suis obligée de l'ouvrir complètement sinon le balai se colle au sol et j'ai du mal à le déplacer ! (carrelage et  parquet). Juste un petit bémol: il n'y a pas de blocage de cette petite trappe et, comme elle est positionnée juste où on met la main pour tenir le balai, elle se referme sans arrêt, genant le travail. Je suis satisfaite de mon achat. De plus, il est esthétique, compact donc peu encombrant et léger à trainer, à porter par sa poignée plutot bien placée."
patricia handtsaem,"2,0",23 juin 2018,"il aspire bien le problème est qu'il reste collé au sol tant il aspire et cela est fatiguant de l'utiliser cela provient du fait qu'in se met en suceur
l'arrivée d'air se trouve sur la poignet au lieu d'être sur le corps
il bouge sans cesse je vais devoir positionner l'arrivée d'air et scotcher pour ne plus qu'il se met en suceur"
JMP,"5,0",11 avril 2019,"Pour le prix, parfait ; dans l’absolu, c’est un choix d’aspirateur, qui peut être considéré comme parfait selon l’usage. Je vais etre plus precis.
- puissant, léger, maniable, suffisamment silencieux. Franchement, rien à reprocher.
- tuyaux et fils un peu court : mais là, c’est un choix : l’aspirateur est leger, il est conçu pour aller vite. Il ne faut pas le considérer comme un gros aspirateur lourd que l’on traine en prenant son temps. C’est une philisophie. Pour ma part, tel quel, il me va parfaitement.
- il est vrai (ce que j’ai lu dans les commentaires) qu’il peut « coller » au sol tellement il aspire. C’est d’autant plus vrai quand le réservoir est vide. Mais il y a un petit réglage facile (au niveau de la prise en main) qui permet justement de régler le débit d’air à volonté."
