user,rating,date,review
Elodie,"2,0",11 mars 2015,"Je surfe tous les jours sur internet avec ce pc, je n'ai pas remarqué de plantage particulier, je regarde des vidéos sans difficultés, il est réactif, ne rame pas. Je ne télécharge pas de films ou autres lourds fichiers, je ne pourrai pas évaluer ce critère. très bel esthétique. Au niveau des bémols je trouve que l'autonomie est vraiment limite, à peine 4 heures; du coup je le laisse branché. Si vous partez en déplacement donc, veillez à emporter le chargeur car il ne tiendra pas plus d'une journée tout seul. Enfin de légers craquements au niveau du son, je ne sais pas d'où cela vient, car il le fait même lorsque le son n'est pas à fond. Un réglage peut être... Bel écran anti reflet, touches agréables et plates. Pas de témoin de verrouillage de la touche VERR NUM. Il faut donc penser à l'activer lorsqu'on allume le PC.
Petite mise à jour ce 06 mars 2016.
Franchement ca fait plusieurs mois qu'il rame, il arrive souvent qu'en cliquant sur des pages, cela mette plusieurs secondes à chercher et à s'ouvrir; quand on clique ca réagit après... sur les vidéos aujoud'hui par exemple, j'ai voulu regarder une série en replay : en qualité basse, grand écran, ca passe; mais en qualité HD, tant que je ne clique par sur plein écran, ca va, mais quand je le mets en grand, la musique est saccadée, les images aussi, ca grésille... bref j'en ai marre et je ne sais pas d'où cela vient, sachant que je ne télécharge ni musique ni vidéos ni de streaming surf ... j'ai juste des photos sur cet ordi, je nettoie régulièrement avec CCleaner, l'antivirus, je mets des anti pub... je ne fais qu'aller sur des sites internet classiques.
Donc voilà en constatant que la vidéo haute qualité saccade, j'imagine que ca vient de la carte graphique. Si vous voulez jouer dessus, ou voir des vidéos en direct, passez votre chemin."
vincent,"5,0",16 décembre 2014,"Un produit que j'ai depuis 3 mois maintenant. Tout est conforme par rapport à la fiche technique et les performances sont à l'image du prix = correct.
Un grand merci au vendeur pour son geste commercial:
En effet, l'ordinateur à été commandé durant un week-end, mais lors du mardi suivant, le colis n'était toujours pas en cours d'expédition. J'ai donc ""secoué ""le vendeur pour avoir des explications.
Finalement, ce n'est pas un ordinateur ""quasi neuf"" que je reçois mais belle et bien un neuf.
C'est le geste commercial que m'a accordé le vendeur pour le retard dans la livraison. Produit reçu du jeudi, soit 2 jours après ma plainte. Réactif et honnête."
c-nöelle,"4,0",4 janvier 2015,"de nombreuses mises à jour effectuées dès sa mise en route mais ensuite, il est très agréable. Son écran anti reflets est appréciable, l'image est de bonne qualité comme tous les appareils Samsung !! Il est rapide et très silencieux. Seul défaut, il n'y a pas de témoin de charge et de lettres majuscules. On peut passer de Windows 8 à 8.1 très facilement. Et le fait qu'il soit blanc lui donne un aspect sympa.  J'apprécie son lecteur/graveur qui devient de plus en plus rare!
Je ne regrette pas mon achat, très bon rapport qualité/prix."
fattore,"4,0",25 octobre 2014,j'ai mis la note de 4  sur 5 a cet ordinateur car il manque le rétroéclairage sur le clavier ce qui est assez gênant la nuit et un indicateur de charge lorsque l'ordinateur est en veille ou éteint. Mais appart cela le tout me satisfait amplement l'écran est de bonne qualité nous sommes sur du HD  l'interface windows 8 est agréable et avec la mise a jour nous avons windows 8.1 cette ordinateur de conviendra pas au gameur mais plutôt au joueur occasionnel et au étudiant l'ordinateur en lui même est plutôt léger est compact cela fait plusieurs moins que je possède cet ordinateur la batterie est bonne en moyenne 4h d'utilisation avec la wifi pour l'instant pas de bug à constaté
Cabinet Ami-Jeaume & Rémont,"5,0",15 octobre 2014,"Non seulement ce ordinateur est performant, mais en plus, c'est un bel objet.
Nous l'avons acheté pour notre fille de 16 ans, donc il convient parfaitement aux jeux.
J'ai un ordinateur de marque SAMSUNG depuis ... 8 ans : il fonctionne toujours parfaitement, bien qu'en ce qui me concerne, je m'en sers pour de la bureautique et pour surfer sur le web.
Quand il me laissera tomber, je rachèterai un SAMSUNG ; en effet, j'ai du mal avec des claviers noirs et les ordinateurs blancs sont en général beaucoup plus cher.
C'est pourquoi le prix de celui-ci est très attractif."
david,"3,0",18 octobre 2014,"Très beau lap top, esthétiquement il n'y a rien à dire.
Mais fonctionnellement c'est plus douteux : il y a 106 mises à jour qui ne s'effectuent pas toutes en une seul bloc.
Du coup, c'est long fastidieux beaucoup trop chi%#§$ en vérité !
On perd des heures vraiment inutilement."
Anne s,"4,0",12 octobre 2014,"totalement satisfaite du produit , très beau d'aspect et pour l'instant rapide et efficace à l'utilisation : bureautique, surf !
Aucune mauvaise surprise.
Peu d'autonomie, mais c'était déjà précisé à l'achat, sachant que le chargeur est petit et léger contrairement à ceux que j’utilisais jusqu'à maintenant (PC portable datant de 2009)"
PLAZANET,"5,0",13 octobre 2014,"Ordinateur de bonne qualité qui ne souffre pas de défaut autant esthétique que technique. Idéal pour du traitement de texte ou d'un travail de bureautique. Agréable également pour surfer sur internet. Bon rapport qualité prix. De plus, envoi trés rapide."
leveque,"4,0",26 février 2015,"Cela fait maintenant 2mois que j'ai cette ordinateur, la taille est très bien, le design très jolie, la batterie tient très longtemps et le rechargement se fait très vite, je trouve que les mises à jour de Windows sont longues à faire mais c'est le seule défaut que j'ai pu relever pour l'instant."
~Kev~,"5,0",26 décembre 2014,"Ce PC est vraiment formidable ! Le design est magnifique (pas étonnant, c'est un SAMSUNG) .Samsung est un excellent fabriquant de PCs, le processeur est suffisant et la carte graphique performante !"
valentin lecoq,"2,0",2 décembre 2014,"Norton Security c'est un fardeau et on ne demande absolument pas si on le souhaite il est déja installé ainsi que quelques programmes malveillant , nettoyage a faire dés l’acquisition !"
