user,rating,date,review
Pierre,"5,0",13 novembre 2018,"J'avais un J7, et il a cassé. Question budget je me suis dit tant pis, je voulais pas dépenser trop. Du coup j'ai pris le J6+ 2018. Il est plus agréable en main, les photos c'est de la bombe! Le son du hp est un peu moins bon, mais on fait avec
esthétique: rien à dire
Photo: top, petits effets de flounen arrière plan sympas
Vitesse: rien à dire
Mémoire: quand j'aurai rempli les 32gigas je serai proche de la retraite je pense
Bref: achètes le!!!"
HALTER SARAH,"1,0",1 mars 2019,"Le colis est arrivé aujourd'hui, avec un jour d'avance, surprise !
Deuxième surprise : le téléphone n'est pas dans la boite !! Il n'y a que le câble de chargement et les écouteurs !!"
Client d'Amazon,"4,0",24 décembre 2018,"Ce télephone est parfait si vous regarder des films sur votre smarphone, que vous utiliser les réseaux sociaux, ou encore jouer à quelques jeux (peux gourmand).
L'autonomie est très correct.
Le seul gros défaut de se smarphone ses la photo.
Elle sont pas très nette mais bon le smatphone ma couter 170 € donc je peux pas me pleindre."
Client Kindle,"3,0",4 janvier 2019,"Bon produit d'entrée de gamme, son gros défaut est la qualité des photos; le lissage des détails , le manque de netteté ne sont pas à la hauteur de la concurrence dans la même gamme de prix. Les photos sont d'une médiocrité pas du tout acceptable, ça relève presque du gadget."
Engoulevent,"1,0",7 janvier 2019,Téléphone défectueux donc inutile.
Alain QUEMENER,"5,0",13 janvier 2019,"Excellent écran. Un beau dos en verre, il fait bien tourner des gros jeux (Fortnite, PUBG...) cela m'a même étonné. Samsung a très bien réussi ce téléphone. De plus, la batterie me tient deux jours. A recommander"
la jeanne,"5,0",18 janvier 2019,bon smarphone prix respectable mais trop dommage pas une notice en français vous regardez sur internet 100 pages a faire défiler c est horrible
Sylla,"5,0",14 décembre 2018,Très bonne téléphone facile à utilisé je suis vraiment satisfait content le tiens bien super qualité
Kaou,"4,0",4 décembre 2018,Je suis très très contente de ma commande
chapeaudepaille,"3,0",28 décembre 2018,"Ce produit ne capte les fréquences wifi à 5 GHz. De ce fait, il n'est pas compatible avzc ma box"
Client d'Amazon,"5,0",22 décembre 2018,"J adore . écran 6 pouces c'est le top.
Facile d utilisation je recommande"
cindye,"3,0",3 avril 2019,"Alors la reconnaissance facial je ne sais pas , il veux je sans avoir ""fb"" et toute les applications ainsi que jeux,  donc si vous êtes comme moi , que vous vous en servez pour le boulot choisissait autre chose
Capacité de stockage correcte
L'écran et top
Qualité photo à revoir"
Drocourt,"2,0",19 février 2019,"des l'arrive du produit j'ai de suite remarque que c'etait un telephone plastique.
dommage pour le prix"
AOUDIA B.,"1,0",1 février 2019,"Bonjour
Vendeur pas correct dans la description du produit
Commandé single sim
Envoi double sim
J'ai l'ai même pas allumé"
Bertrand Anne,"5,0",22 janvier 2019,"Un seul conseil, protégez votre écran. Pour le reste je ne peux que conseiller ce téléphone, un très bon rapport qualité prix."
Patricia Séverine,"5,0",16 janvier 2019,"ravie pour le moment de mon téléphone , durée de vie de la batterie et longévité ,voir plus tard car ça ne fait pas longtemps que je l'ai acheté."
ludovic leduc,"3,0",5 juin 2019,super qualité super rapport qualité prix super disingne après je vient de l'avoir donc a voir ci il ya des souci je le serai pars la suite mes bon a des pris pareil il pourrais offrir la coque de protection les gens son pas tous Rothschild déjà dure de sortie une somme pareil quand on et au chaumage donc faite des cadeau pack quart après avec les article supplémentaire on arrive vite a 200e merci j’espère que vous prendrai note mes bon je peux pas le conseillée vu que ca fait un moi que je les a voir
Client d'Amazon,"5,0",7 mars 2019,Excellent cadeaux très bon produit
Jules Hello World,"3,0",6 mai 2019,"Un téléphone d'entrée de gamme, clairement destiné à une utilisation light. Dommage que les 3 go de RAM ne soient pas associés à un processeur plus véloce."
Chartoire Marc,"4,0",4 avril 2019,Pour un entrée de gamme Samsung c'est de très bonne facture mais attention il est difficile de mettre le téléphone en français les premiers temps voir tuto sur Google
mathos,"5,0",23 avril 2019,"C'est un cadeau de ma femme , le portable en lui même est très bien,  facile à utiliser, la taille me convient car je regarde beaucoup de films sur mon portable , très satisfait de mon acquisition."
BERRICHON,"5,0",14 février 2019,Commande reçue rapidement qualité prix excellent c'est un cadeau pour ma fille qui est super contente de son portable .
Bruno ANGELO,"5,0",3 février 2019,"J'utilise depuis quelques années un portable SAMSUNG , qui m'a donné pleine satisfaction . Je commande le même produit dans la gamme plus récente.
J'ai rapidement reçu le produit , il fonctionne correctement."
Bergès Mietté,"4,0",14 mars 2019,"Très beau téléphone avec plusieurs points forts mais des défauts également. Batterie s'épuise assez vite, en partie à cause de l'usage. Impossible de faire une capture d'écran. Mais dans l'ensemble, ce portable est impeccable. Je recommande."
Stephen mur,"5,0",20 mars 2019,le j6 plus correspond tout a fait a mes attentes très fluide bonne qualité d'image.
remy jean marie,"1,0",10 juin 2019,J'ai remplacé mon Huawei P8 par ce Samsung J6+. Sans doute il faut le découvrir et m'y habituer…  J'obtiens Internet sur ce smartphone mais pas en partage de connexion. Pour envoyer un texto les 2 premiers mots dictés s'affichent puis je dois continuer avec le clavier.
Corinne Lelo,"5,0",26 mars 2019,"j'ai commandé ce téléphone pour mon fils. Il a été livré plus tôt que prévu et il était ravi.
La prise en main est rapide. Cependant, il n'y a pas de guide d'installation en ""FRANCAIS"".
Donc, je pense que si vous le commandez, préférez la version française et non internationale."
BigFlo,"5,0",31 mai 2019,"Très bon téléphone un peu sceptique au départ car achat sur le net mais fonctionne parfaitement bien, très pratique et pas mal d option."
Client d'Amazon,"5,0",12 février 2019,Changement téléphone non inclus dans forfait opérateur. Ravie de mon achat.
Asma,"2,0",4 février 2019,Dommage Que l’écran et pas trop éclairé
runge,"4,0",4 janvier 2019,ras
kherouf,"5,0",2 février 2019,"Mon Grand prime a rendu son âme.
Le j6 plus est ce que je recherche rapport qualité prix!
Grand écran et fluide!
Livraison rapide!"
Stephane,"5,0",26 mai 2019,"Belle qualité ,et très fluide rien à dire de plus"
Client d'Amazon,"5,0",5 mai 2019,Super pour le prix .top le son.qualité d image très bien .super pour quelqu un qui peut pas ce permettre d acheté des téléphones dernier sortie .et livraison super plutôt que prévu.
Client d'Amazon,"5,0",22 mars 2019,"Je suis contente de mon choix, prise en main assez facile, je n'ai pas encore tout exploré mais contente."
waeldin,"5,0",10 mars 2019,"un vrai smartphone, toutes les fonctions utiles
bonne qualité de photo
prise en main facile"
vanderschelden,"5,0",8 février 2019,Bon téléphone batterie tien deux jours mémoire super a par la luminosité qui diminue et revien tout seul il va nickel et prix très interresant
MARCHAND N.,"5,0",8 mai 2019,excellent portable à prix raisonnable. Je l ai acheté pour ma fille en remplacement d un iPhone 5.La charge de la batterie tient longtemps l appareil photo est bon.je le recommande
amateur d'Arts,"4,0",24 mars 2019,"J'aurais apprécié le mode d'emploi en Français parce que je ne suis pas particulièrement ""intuitif""!"
