user,rating,date,review
Thomas SUCHON,"5,0",1 février 2019,"Habitué des Xperia Compact, j'avais été très déçu par le Xperia XZ mais Sony repart dans le bon sens avec le Xperia XZ2 Compact.
Après 3 semaines d'utilisation, voici mon avis sur ce téléphone :
Les points positifs :
- Le nouveau format d'écran (21/9) permet de bénéficier d'un plus grand écran sans rendre difficile l'usage à un main.
- Léger et compact, il rentre facilement dans la poche et tiens parfaitement dans la main
- Le rendu des photos est vraiment excellent, même avec une faible luminosité.
- L'autonomie est correcte et on peut terminer la journée sans problème.
Les points négatifs :
-  L'emplacement du lecteur d'empreintes digitales, qui est moins pratique que précédemment car il faut souvent plier le doigt pour l'atteindre
- L'absence de prise jack 3.5mm remplacé par un adaptateur USB type C qui ne permet pas de charger le téléphone en écoutant de la musique
- Le chargeur inclus avec le téléphone ne permet pas d'utiliser la fonctionnalité Quick Charge (charge très rapide) alors que le téléphone la supporte
- Les nombreuses applications installées (AVG notamment) par défaut qu'il n'est pas possible de désinstaller depuis le téléphone et qui nécessite de passer par adb pour les supprimer"
AXD,"2,0",14 mars 2019,"Cet achat onéreux est très décevant ; je ne connaissais pas la marque. Hormis le fait de la taille - raison essentielle de mon choix souffrant d'un handicap aux mains ne me permettant pas de pouvoir tenir les grands téléphones - l'utilisation journalière est franchement complexe, à l'opposé de celle dont je disposais sur mon précédent mobile beaucoup plus évidente, d'où la notation.
J'utilise beaucoup les SMS professionnellement et avec cet appareil deux points très négatifs :
1.Soucieuse de mon orthographe et de ma syntaxe, contrairement à mon précédent Samsung, ici la relecture de vérification est quasi impossible puisque seules trois lignes sont visibles ce qui oblige à sans cesse remonter ou descendre en faisant très attention de ne pas envoyer prématurément le SMS ;
2. Avec le XPERIA Z2 Compact, il faut obligatoirement désigner un destinataire avant le texte et, pour un envoi groupé, la seule astuce que j'ai trouvée est celle du ""copié-collé"", ce qui n'est pas du tout pratique!
Et plein de petits désagréments d'utilisation de cet ordre très déroutants.
Le logiciel d'aide n'autorise pas le questionnement direct puisque orienté dès le départ (questionnaire fermé ce que je déteste vraiment), il faut donc être très renseigné ce qui n'est pas mon cas. Heureusement, les interlocuteurs du SAV de la marque sont d'une très grande réactivité, aimables et patients, mais je ne peux décemment pas sans cesse les appeler.
Puisque mon opérateur ne proposait pas cet appareil dans ses forfaits, j'ai donc dû l'acquérir directement.
Après m'être renseignée auprès de la presse spécialisée (à laquelle du reste je me suis trop fiée), j'ai fort heureusement bénéficié d'un prix promotionnel sur Amazon (merci Amazon que j'apprécie tant), mais cela représente quand même un coût ; je vais donc devoir attendre l'amortissement de mon XPERIA.Z2 Compact avant l'achat d'un nouvel appareil qui ne sera certainement pas de cette marque ;  sagement, je reviendrai probablement à un Samsung d'une utilisation bien plus fluide en ce qui me concerne !"
dadabegr,"5,0",26 avril 2018,"Connaissant Sony pour la qualité de ses photosj'ai choisi ce smartphone pour ses performances photo et video. Filmer en ralenti deviens un jeu d'enfant, et les résultats sont spectaculaires."
Haristoy,"5,0",17 avril 2018,"Pour l'instant, j'adore. Ce téléphone est archi puissant, pour des dimensions enfin raisonnable. Je n'ai pas cet impression d'avoir une planche de surf entre les mains, il est facilement maniable a une main (65mm de largeur). Je trouve le capteur d'empreinte bien placé, assez facile a trouver, surtout avec une coque. L'écran est très bon, l'autonomie est correcte, quoique que moindre par rapport aux versions précédentes (qui été réputées pour être très endurantes à ce niveau). En version noire je le trouve très classe."
Bertrand,"5,0",20 juin 2018,"Tout est dans le titre.
Un seul regret, mon ancien Z3Compact était plus petit ce qui était plus agréable.
Cependant, l'évolution technologique se fait tellement sentir que l'utilisation du téléphone est un plaisir."
Client d'Amazon,"4,0",1 août 2018,"5 pouces = rare. Il manque un port jack pour faciliter l'utilisation des écouteurs, kit mains libres..."
Anthony B.,"5,0",30 mars 2019,"Je cherchais un téléphone aux dimensions réduites, sans faire de compromis sur les composants internes, je n'ai pas été déçu ! L'écran est de bonne qualité, l'appareil photo délivre de très bon clichés... Le lecteur d'empreinte est fiable et bien pratique. Plutôt pastèque que métal, mais la qualité de construction est là. Pour avoir eu quelques téléphones plus low-cost, on sent la différence... et depuis 3 mois que je l'ai les mises à jours sont régulières, ce qui n'est pas le cas avec d'autres marques... Petit bémol, comme d'autres constructeurs Sony a ici abandonné la prise jack (mais fourni un adaptateur usb-c vers jack, qui ne vous permettra pas de rechercher votre tel en même temps, en voiture par exemple...).
Cet appareil correspond parfaitement à mes attentes !"
Jean Pierre Delmur,"5,0",16 avril 2019,"Pas facile à trouver un smartphone qui ne soit pas un monument, surtout si on ne joue pas ou qu'on ne regarde pas de films. Ce petit Sony prend la suite d'un Z5 compact qui a eu un malaise sur du carrelage. ça me va bien. Bonnes images brutes dont on peut contrôler le bruit en basses lumières une fois importées dans un logiciel genre LR ou PS, on ne subit pas le lissage logiciel du smartphone. Autonomie très bonne.
Quant au son, un régal, surtout au casque."
Client d'Amazon,"5,0",3 mai 2018,De la bombe. Je passe d un iPhone 8 et d un HTC U11 et je ne le regrette pas. Ça ne à plus rien à voir avec les anciens compact ! Écran superbe et rapidité. Bravo Sony 👍
Cyrile,"5,0",2 décembre 2018,"Enfin un petit smartphone, il n'a quasi aucun conçurent à l'heure des écran géant qui ne tienne pas en poche
Autonomie correcte, joli écran. Bonne prise en main même s'il est un peu epais
Une protection d'écran aurait été la bienvenue car c'est une vraie plaie d'en trouver une correcte pour ce teL"
