user,rating,date,review
Anh La,"3,0",12 novembre 2018,"Pour ma première liseuse, j'ai acheté le Paperwhite 2018 32GO.
Dans l'ensemble, elle est assez réactive.
Néanmoins, d'après les premières ""prises en main"", il est dit que la nouvelle mouture pourrait lire les livres audio ; ce qui a pesé dans ma décision.
Alors, lorsque je l'ai eu, j'ai cherché partout comment configurer le Bluetooth. Mais ""l'option"" vantée partout n'existe pas dans la version France d'où la déception. Surtout il y a des répertoires Audible et Voice dans l'appareil.
En vérifiant le descriptif sur Amazon, il est vrai que cette possibilité n'est pas indiquée.
Sinon, l'appareil est réactif, la capacité est correcte (même pour 8GO).
La lecture est agréable.
Les points négatifs dans l'ordre du plus important au moins important :
-Le Bluetooth évidemment. Quand AMAZON décide-t-elle de l'intégrer ?
-La suggestion des mots archi nulle : il faudrait s'inspirer des tablettes S....NG par exemple.
-La sélection du mot commençant par une voyelle intègre l'article et l'apostrophe qui le précède rendant le mot impossible à trouver dans le dictionnaire.
-Le dictionnaire ne permet pas de trouver un autre mot dans la définition.
-Sens de lecture fixe selon le paramétrage : il n'y a pas de gyroscope.
-Transfert depuis le PC limité à 7 ou 8 MO/s.
Il manquerait un navigateur (répertoire/fichiers)
Par conséquent : impression mitigée."
Canhdieu,"3,0",19 novembre 2018,La batterie est plus faible que mon kindle paperwhite 2è gen. L'écran tactile est aussi moins réactif.
Blanc Cyril,"5,0",12 novembre 2018,"J'ai acheté cette Kindle pour ma petite amie qui lisait énormément sur la tablette et je suis franchement surpris par le produit sans parler du fait que je vais pouvoir retoucher ma tablette tant aimé 🙃
Je m’attendais à avoir une liseuse comme on en trouve souvent à 20€ mais pas du tout, cette liseuse est vraiment très belle, fine et lumineuse.
On ne se rend pas forcement compte, mais le poids d’un support de lecture est très important pour la fatigue des bras. Je n’ai pas pesé cette Kindle mais elle est bien plus légère que ma Tab S mais également beaucoup plus fine, ce qui permet une bonne prise en main dans la longévité.
Le revêtement de l’arrière avec l’aspect un peu soft-touch est parfait, ça donne une bonne sensation lors de la prise en main, c’est agréable.
L’autonomie à l’air plus que suffisante, l’appareil est (très) réactif et donne l’air d’être robuste et résistant.
J’ai pris la version 32Go et c’est largement suffisant étant donné qu’un ebook fait en moyenne une 15aine de Mo soit environ 2000 livres pour la version 32Go.
Enooorme point positif : elle peut maintenant lire dans son bain ou au bord de la piscine (pas dans l’immédiat, ça caille) sans que je risque un infarctus et l’air de rien, c’est vachement important pour mon petit cœur fragile !
Pour finir, je pense « malheureusement » que le livre papier à une tendance à disparaître ou fortement diminuer, avec ce genre de produits, fini le risque que la bibliothèque s’écroule sous le poids de tous ces bouquins, fini la question : « ou est-ce qu’on va mettre ce nouveau livre, la bibliothèque est déjà pleine ? »…
Pour les grand(e)s consommateurs/trices de bouquins, c’est l’alternative parfaite, toute une bibliothèque rassemblée dans un seul produit, j’en suis ravi !"
Grégoire ESSIG,"1,0",22 décembre 2018,"Le Kindle est vraiment très agréable à utiliser. Dans le bus, le train ou le métro, c'est un bonheur. Il ne prends pas de place et est très léger. De plus le rétro éclairage est efficace et très léger. Donc pas de risques de se fatiguer les yeux avant de se coucher.
En revanche il est rempli de publicité. Même étaint, son écran diffuse des publicités et promotions d'amazon (voir photo). Au prix de la liseuse, je trouve ça inadmissible. D'autant plus que les livres Kindle sur Amazon sont loin d'être gratuit... Résultats des courses, je risque de renvoyer l'appareil et d'en prendre un concurrent."
Lamb,"2,0",12 novembre 2018,"Vous demandez un paperwhite reconditionnné, vous recevez un standard (non rétroéclairé) et qui en plus ne démarre pas.
Les retours c'est bieni mais c'est mieux sans.
Le fait qu'on vous renvoie un matériel déficient non vérifié m'est déjà arrivé sur un drone. Perte de temps et d'énergie"
hs,"4,0",21 novembre 2018,"Déjà utilisateur de 2 Kindles depuis plusieurs années (les tout premiers Gen 1 et 5 achetés aux US), celui là est réellement amélioré et très agréable d'utilisation. Quelques commentaires toutefois: Commandé 2 jours avant la Black Friday Week (seulement proposé le Mardi), en attendant 2 jours, j'aurais gagné 40 Euros et je n'espère pas un geste commercial d'Amazon à cet égard (humm) , pas de câble USB inclus dans le package livré (contrairement à ce qui est indiqué sur le site mais je ne vais pas le renvoyer pour cela..) et firmware non à jour sans indication d'une disponibilité de mise à jour sur le menu paramètres..manuellement, une fois téléchargé et installé, c'est sans problème (Il suffit de suivre les indications). Pour cela (surtout le câble manquant) une étoile en moins
Un appareil très agréable, anciens possesseurs de KIndle plus anciens, n'hésitez pas pour Noël ;-)"
Le Gallois,"3,0",4 décembre 2018,"Dans d'autres pays les utilisateurs des Kindles Paperwhites peuvent se servir de Goodreads, le réseau social des lecteurs, et au nouveau Paperwhite écouter les livres audio Audible.com avec des écouteurs Bluetooth.
Mais pas en France.
J'aimerais bien savoir pourquoi nos Kindle Paperwhite en France sont bridés, limités.
Le lecteur marche bien mais finalement je suis deçu parce que j'ai payé le même prix que mes amis anglais, mais pour moins de fonctions.
Pourquoi, Amazon? Pourquoi?"
Amazon Customer,"1,0",25 novembre 2018,"arrivés très vite, bel écran et poids légers, déçu de l'affichage, icônes poussées à l'extrême gauche pour permettre une barre de recherche trop grande, texte d'icônes, de collections et de titres de livres beaucoup plus petits que ceux de ma 7e génération. La couverture et le design de la collection étaient de mauvaise qualité par rapport à la génération précédente, avec un texte clair et audacieux et un meilleur espacement. J'espère que les améliorations apportées pourront être mises à jour en tant que client très déçu."
P.Minchella,"1,0",2 décembre 2018,"Satisfait de l'ancien model, j'ai décidé d'en commander une autre pour ma femme. TRÈS TRÈS GROSSE déception, la liseuse redémarre toute seule de façon aléatoire, la durée de la charge de la batterie n'a rien à voir avec l'ancienne même lorsqu'elle n'est pas utilisée. Après plusieurs réinitialisation de la tablette le phénomène persiste. l'ancien model n'étant plus disponible j'ai demandé un échange contre une Kindle Oasis (beaucoup plus chère) qui je l’espère fonctionnera correctement. C'est dommage car je comptais en offrir une à ma nièce."
bertrand305,"5,0",16 novembre 2018,déjà utilisateurs du Kindle 6 pouces classique non rétroéclairé j'apprécie pleinement ce nouveau Kindle paperwhite 2018 le retroeclairage est parfaitement ajustable bref je recommande sans hésiter
